timestamps,open,high,low,close,volume,amount
2010-01-04,52.01,52.5,50.01,51,1174549,59633100
2010-01-05,50.52,51,48.3,49.24,2012476,100342000
2010-01-06,49.35,49.75,48.7,49,1937992,95134600
2010-01-07,48.88,49.18,48,48.42,1197703,57894100
2010-01-08,48.55,49.64,48.1,49.3,1030515,50161100
2010-01-11,48.86,49.68,47.81,47.99,1343112,64933300
2010-01-12,47.97,49.95,47.9,49.66,1962524,96446800
2010-01-13,48.71,49.97,48.53,49.7,1434070,70852200
2010-01-14,49.7,51.31,49.7,50.6,1608183,81238700
2010-01-15,50.6,51,49.85,49.92,998920,50291300
2010-01-18,49.88,50.33,49,50.09,1448167,72163600
2010-01-19,49.59,49.97,48.8,49.1,925302,45555700
2010-01-20,48.96,49.99,48.61,48.89,1145266,56453300
2010-01-21,49.28,49.28,48.46,48.96,640831,31364700
2010-01-22,48.51,48.96,47.01,47.84,786790,37618300
2010-01-25,47.58,48,47.22,47.87,616682,29484900
2010-01-26,47.8,48.5,47.2,47.95,580724,27890500
2010-01-27,47.5,48.5,46.61,47.51,1837410,86623300
2010-01-28,47.15,48.5,46.5,48.41,1539623,72699500
2010-01-29,48.13,48.98,47.52,47.78,1123660,54136200
2010-02-01,47.75,48.85,47.11,47.99,3072862,147550200
2010-02-02,48,48.54,47.7,47.71,1706361,81741400
2010-02-03,47.68,47.95,45.6,46.96,2721011,126553300
2010-02-04,47,47.85,46.07,47.11,2597299,122008600
2010-02-05,46.02,47.4,46.02,46.76,721310,33703800
2010-02-08,46.77,47.7,45.5,45.6,1705305,78797400
2010-02-09,45.7,46.05,45,45.32,1295269,58808900
2010-02-10,45.51,46.33,45.11,46.3,1558056,70889500
2010-02-11,46.05,47.25,45.76,46.9,2374665,111125100
2010-02-12,47.19,51.59,46.75,48.5,1513524,72944600
2010-02-22,48.6,49.29,48.5,48.6,966810,47243200
2010-02-23,48.6,48.8,47.51,48.63,629965,30357700
2010-02-24,48.59,50.45,48.15,49.8,1411796,69947200
2010-02-25,49.8,50,48.5,49.11,1818220,89011800
2010-02-26,48.99,50.05,48.43,49.16,2932684,144280900
2010-03-02,49.5,49.98,48.3,48.58,855032,41917100
2010-03-03,48.58,49.3,48.3,48.69,987242,48134000
2010-03-04,48.72,48.72,47.11,47.4,1484518,70836700
2010-03-05,47.4,47.49,47.22,47.4,2468544,116986800
2010-03-08,47.36,48.35,47.31,47.66,581646,27786800
2010-03-09,47.78,48,46.8,47.65,1102388,51908600
2010-03-10,47.56,48.1,47.1,47.86,884270,42209900
2010-03-11,47.61,47.98,47.2,47.38,321130,15264500
2010-03-12,47.21,47.6,45.98,46.04,2247991,104593700
2010-03-15,46.25,46.27,45.05,45.13,1449958,66298000
2010-03-16,45.58,45.77,45.23,45.59,598955,27220200
2010-03-17,37.91,39.48,37.91,39.18,845657,32887100
2010-03-18,39.19,39.22,37.47,39.05,751757,29091000
2010-03-19,39.01,39.49,38.6,39.4,1114430,43752700
2010-03-22,39.35,39.8,39.06,39.28,1164007,45876400
2010-03-23,39.5,39.67,38.5,38.78,1015718,39381800
2010-03-24,38.48,38.98,38.42,38.55,689727,26693000
2010-03-25,38.5,38.55,37.98,38.19,723207,27570000
2010-03-26,38.16,38.24,37.78,38.24,788475,29952100
2010-03-29,38.28,39.28,37.77,39.22,3504382,133319300
2010-03-30,39,39.34,38.72,39.2,1430150,56031400
2010-03-31,39.21,39.22,38.53,39.21,1358383,52856300
2010-04-01,39.26,40.1,38.87,39.79,2773735,110219800
2010-04-02,39.98,41.52,39.79,40.98,3283149,132091200
2010-04-06,40.99,41.53,40.45,40.9,916707,37621200
2010-04-07,40.91,41.68,40.5,41.63,1782182,73663600
2010-04-08,41.56,42,41.2,41.58,1030510,43081700
2010-04-13,42.7,44.78,42.7,43.67,9398038,409937600
2010-04-14,43.69,47,42.71,46.42,5162587,234131400
2010-04-15,46.42,46.42,44.09,45.2,2979836,133883800
2010-04-16,44.9,45.96,44,45.28,1444210,65228800
2010-04-19,45.25,45.68,44.07,45.38,1519123,68439600
2010-04-20,45.28,47.3,43,46.86,1969725,90473600
2010-04-21,46.64,47.48,46,46.91,1151693,54125500
2010-04-22,46.11,47.47,45.55,47.44,1091079,50869700
2010-04-23,47.33,47.8,46.58,46.88,984891,46437700
2010-04-26,46.81,47.3,45.76,46.06,1189958,55003700
2010-04-27,45.3,45.98,44.4,45.28,1875855,84752100
2010-04-28,44.51,46,44.51,45.85,861267,39256800
2010-04-29,45.88,46.34,43.72,43.97,994382,44903100
2010-04-30,44.29,44.38,41.7,42.78,2145858,91808800
2010-05-04,42,45.2,42,43.71,1575810,69943300
2010-05-05,43.82,44.89,43.3,43.98,3053134,134940200
2010-05-06,43.78,45.3,43.53,43.71,1942008,86620400
2010-05-07,43.4,45,42.1,44.62,1738792,76067600
2010-05-10,43.8,44.49,42.55,43.62,842998,36728700
2010-05-11,44.2,44.52,42.6,43.05,947270,41024300
2010-05-12,43,43.39,41.38,41.41,2170399,91944400
2010-05-13,41.5,42.99,41.5,42.68,1585295,66960000
2010-05-14,42.65,44.79,42.6,44.54,1669067,73801300
2010-05-17,44.2,45.18,43.67,43.82,1361097,60422300
2010-05-18,43.6,44.35,42.01,42.82,1243083,53177200
2010-05-19,42.84,44,42.11,43.5,953511,41341900
2010-05-20,43.65,43.92,43,43.1,988239,42948100
2010-05-21,42.18,43.74,41.99,43.4,491877,21229600
2010-05-24,43.26,45.19,43.26,44.6,986417,44228600
2010-05-25,44.6,45.96,44.6,45.67,949080,43090900
2010-05-26,45.48,45.67,44.3,44.52,699867,31284900
2010-05-27,44.27,45.98,43.25,45.56,841560,37791700
2010-05-28,45.53,46.9,45.53,46.7,1039774,48400500
2010-05-31,46.79,48.36,45.59,45.68,1436494,67832000
2010-06-01,45.68,46.78,44.5,44.98,1327980,59947400
2010-06-02,44.8,45.3,43.56,44.2,1364709,60381400
2010-06-03,44.3,45.6,44.3,44.8,1240365,55887700
2010-06-04,44.65,47.25,44.4,46.92,1877876,86666300
2010-06-07,46.25,49.6,46.2,49.04,3238492,158230000
2010-06-08,48.88,50.96,48.16,49.25,1146176,57047500
2010-06-09,49.05,50.35,49.05,50.03,1147432,57322000
2010-06-10,50.1,50.36,49.5,50.13,1025634,51071000
2010-06-11,49.99,50.47,48,49,2470597,120740100
2010-06-17,49,49,44.4,45.09,7475178,344005000
2010-06-18,44.8,44.8,42.51,43.41,7511119,325265000
2010-06-21,43,43.4,42.05,43.05,4925467,210203800
2010-06-22,43.1,43.85,42.75,43.29,3795521,164450300
2010-06-23,43.25,43.35,41.8,41.98,4171620,177716800
2010-06-24,42,42.59,41.9,42.29,2273302,95941800
2010-06-25,42.3,42.3,39.85,40.27,5676177,230327100
2010-06-29,39.88,40.77,38.68,39.3,4374297,174460000
2010-06-30,38.69,39.5,37.88,39.07,6978225,271794300
2010-07-01,39,39.25,36.86,36.95,4097493,155464300
2010-07-02,36.95,37.55,34.91,37.38,4301459,155654600
2010-07-05,37.08,38.6,35.72,37.89,2227731,84603500
2010-07-06,37.89,38.44,37.28,37.89,1872889,71074300
2010-07-07,37.91,38.95,37.5,38.7,2528263,95769900
2010-07-08,38.8,39.41,37.8,38,2688347,103828800
2010-07-09,38.2,40,37.3,39,3170331,123424600
2010-07-12,39,39.47,38.7,39.01,1035910,40581600
2010-07-13,39.1,39.8,38.74,39.04,1565113,61624900
2010-07-14,39.02,39.47,37.94,38,3091776,119909200
2010-07-15,37.87,38.8,37.75,38.2,2101758,80809100
2010-07-16,38,38.38,36.91,38.3,1549516,57979300
2010-07-19,37.9,38.88,37.51,38.4,2577741,98029300
2010-07-20,38.41,39.85,38.41,39.69,2250286,88882900
2010-07-21,39.88,40.65,39.51,40.2,1358094,54288500
2010-07-22,40.2,40.58,39.63,40.28,1256099,50345100
2010-07-23,40.36,41.18,40,41.05,1908094,77695700
2010-07-26,41,42.59,40.7,42.42,2200676,92140100
2010-07-27,42.19,43.2,41.7,42.98,1917747,81419400
2010-07-28,43,43.25,42.38,43.01,2046381,88073200
2010-07-29,43,43,41.48,41.59,1912411,80397200
2010-07-30,41.3,42.2,41.18,41.77,1329890,55382900
2010-08-02,41.65,42.8,41.43,42.68,1780636,74934200
2010-08-03,42.8,42.8,41.63,42.1,2089544,87944900
2010-08-04,41.79,42.28,40.5,41.08,2497155,102537300
2010-08-05,41.14,42.61,41.14,42.18,2020345,85187700
2010-08-06,42,42.5,41.35,42.35,1495916,62836900
