timestamps,open,high,low,close,volume,amount
2010-01-04,172,172,169.31,169.94,4430488,753405600
2010-01-05,170.99,171.5,169,169.44,3151318,535720400
2010-01-06,168.99,169.5,166.31,166.76,3988903,666073300
2010-01-07,166.76,167.19,161.88,163.72,4882555,801445300
2010-01-08,164,164,160.1,162,3670209,593162200
2010-01-11,163.6,164.9,160.5,161.29,2446103,395563900
2010-01-12,161.45,166.17,160.61,165.65,3106340,509373900
2010-01-13,163.99,165.15,161,161.44,3792444,621261800
2010-01-14,162,169.2,162,168.54,4645464,775471600
2010-01-15,168.51,173.38,168.51,169.87,4593850,788329000
2010-01-18,170,172.26,169.9,170.98,2146153,368485900
2010-01-19,170.99,171.5,169.5,169.77,1781891,302797500
2010-01-20,169.91,170.15,165.8,165.92,2097295,353315700
2010-01-21,165.86,168.38,165.5,166.73,1725748,287779700
2010-01-22,166.6,167.29,161.89,164.13,2543294,416305100
2010-01-25,163.85,167.3,162.51,166.04,2323915,385581300
2010-01-26,168.27,170.17,164.6,166.7,3288916,553152700
2010-01-27,166.03,167.78,163.6,163.98,1931657,320765900
2010-01-28,163.86,170.35,163.5,169.2,3026752,507716300
2010-01-29,169.95,170.2,167.68,168.54,3717282,628192900
2010-02-01,168.88,169.58,167.01,168.89,2965594,499867000
2010-02-02,168,170,166.29,166.52,1549353,260426300
2010-02-03,166.21,168.1,164.2,165.93,2303465,382974400
2010-02-04,165.9,169.25,165.13,168.6,2247533,376703400
2010-02-05,167.61,171.88,167,171.25,2623430,445744700
2010-02-08,171.25,175.6,170.52,171.23,3149610,548228600
2010-02-09,172,173.33,170.53,171.11,1415124,243173000
2010-02-10,172,172.59,170.7,171.83,639814,109830200
2010-02-11,171.8,174.44,171.6,173.38,1494505,259254500
2010-02-12,173.97,174.2,172.2,173.09,934640,161900000
2010-02-22,173,173.1,169.07,169.08,1217808,207127800
2010-02-23,169.25,170.5,164.7,166.75,2356213,391601200
2010-02-24,166.76,168.6,165.5,167.92,990427,165405100
2010-02-25,166.9,170,166.9,168.25,1531396,258220800
2010-02-26,168.98,168.98,166.6,166.84,1033858,173028900
2010-03-01,166.45,167.45,165.99,166.24,2173474,361550300
2010-03-02,166.61,166.79,164.9,165.6,1718223,284524200
2010-03-03,165.99,166.24,164.93,165.66,1423286,235470700
2010-03-04,166.02,166.85,164,165.14,1416897,234440700
2010-03-05,165.15,165.45,164.28,164.41,977055,160821100
2010-03-08,164.48,164.98,162.8,163.18,2325944,380034400
2010-03-09,163.2,163.7,162.7,163.17,1234097,201437800
2010-03-10,163.27,163.7,162.9,163.66,1181406,192984000
2010-03-11,163.86,164.45,162.58,163.01,1351856,220769900
2010-03-12,163.02,163.67,161.59,161.92,1219227,197699600
2010-03-15,161.91,161.91,157.9,158.7,1580851,251338900
2010-03-16,158.7,159.65,157.9,158.94,776413,123284700
2010-03-17,158.98,160.58,158.9,160.51,1871093,298972400
2010-03-18,160.58,161.37,157.75,158.41,1472662,234364000
2010-03-19,158.88,159.34,158,158.76,1336163,212046400
