timestamps,open,high,low,close,volume,amount
2019-07-22,34.76,55.76,28.06,39.84,33751275.0,1213648700.0
2019-07-23,31.78,36.56,31.27,34.08,13109294.0,457179700.0
2019-07-24,34.71,38.96,34.26,38.77,16407326.0,610149200.0
2019-07-25,40.72,49.76,40.65,43.26,25763501.0,1170635500.0
2019-07-26,40.76,43.04,39.56,40.26,15264452.0,627613800.0
2019-07-29,41.52,45.26,41.14,45.26,17381194.0,761595000.0
2019-07-30,44.76,47.26,43.65,46.26,18961725.0,875252899.9999999
2019-07-31,46.16,47.44,44.46,47.06,16007930.0,746272600.0
2019-08-01,46.24,54.21,45.88,51.25,20360648.0,999491100.0
2019-08-02,49.46,57.97,49.26,54.72,23157533.0,1265337500.0
2019-08-05,54.61,58.46,50.76,58.46,16749939.0,940153400.0
2019-08-06,58.48,64.56,52.08,52.66,21501286.0,1293284700.0
2019-08-07,54.76,55.76,51.35,55.68,13729084.0,741586200.0
2019-08-08,55.96,57.56,52.26,52.56,12682686.0,703863100.0
2019-08-09,52.81,53.13,48.56,49.15,11528317.0,583859100.0
2019-08-12,49.04,49.56,44.36,46.41,9812300.0,460963600.0
2019-08-13,46.36,49.01,46.36,48.76,9596861.0,459666000.0
2019-08-14,49.46,51.96,48.4,50.66,13043656.0,658287800.0
2019-08-15,48.76,52.24,48.47,51.77,10361098.0,528218800.0
2019-08-16,53.33,53.66,50.31,51.21,9733574.0,505786300.0
2019-08-19,51.08,52.25,49.29,51.66,8738444.0,447994100.00000006
2019-08-20,51.37,52.31,50.56,50.57,5497675.0,284099700.0
2019-08-21,50.55,50.55,46.15,46.26,8691938.0,416387100.0
2019-08-22,46.26,47.14,44.86,45.69,4902303.0,227031400.0
2019-08-23,44.8,46.36,41.31,42.2,8364538.0,366060600.0
2019-08-26,42.17,43.51,41.65,42.62,4803326.0,205775900.0
2019-08-27,42.91,43.46,41.82,43.08,4804950.0,206265300.0
2019-08-28,42.56,43.16,41.25,41.35,4973355.0,210810200.0
2019-08-29,41.06,41.16,39.14,40.26,7405608.0,298498100.0
2019-08-30,40.26,40.88,39.62,40.22,4293781.0,173973600.0
2019-09-02,40.51,40.79,39.97,40.57,2827330.0,115159100.0
2019-09-03,40.54,43.86,40.36,43.33,7954920.0,340955600.0
2019-09-04,42.96,44.06,42.76,42.89,5695945.0,248106500.0
2019-09-05,42.92,43.39,42.61,42.91,4583545.0,198098700.0
2019-09-06,42.77,43.21,40.77,40.89,5225063.0,219750300.0
2019-09-09,40.96,41.41,40.7,40.97,2515784.0,103593200.0
2019-09-10,40.96,42.26,40.95,41.41,3059562.0,128020300.0
2019-09-11,41.51,41.51,40.7,40.79,2690178.0,111057700.0
2019-09-12,40.96,41.01,39.56,39.8,3179967.0,127750200.0
2019-09-16,39.8,40.31,39.77,40.02,1502304.0,60483800.0
2019-09-17,40.09,40.26,39.15,39.18,2161316.0,86277099.99999999
2019-09-18,39.35,39.99,37.56,38.11,3843983.0,148192000.0
2019-09-19,38.33,40.28,37.78,39.01,3669747.0,144684700.0
2019-09-20,39.64,40.81,39.31,39.72,4907669.0,197861400.0
2019-09-23,39.26,39.75,38.42,38.71,2637260.0,103178500.0
2019-09-24,38.54,40.07,38.37,39.51,3345843.0,132721700.0
2019-09-25,39.37,39.95,38.53,38.53,2434620.0,96099100.0
2019-09-26,38.56,38.66,35.11,35.11,4061628.0,148521400.0
2019-09-27,35.58,36.11,34.84,35.59,1855198.0,66348800.0
2019-09-30,35.56,35.56,33.38,33.84,2902299.0,99430200.0
2019-10-08,33.83,34.06,32.65,32.74,1801986.0,60088000.0
2019-10-09,32.67,33.2,32.46,32.86,1303051.0,43142800.0
2019-10-10,32.99,33.59,32.86,33.18,1403703.0,47063800.0
2019-10-11,33.41,33.41,32.87,32.91,1131449.0,37690100.0
2019-10-14,33.09,33.71,32.81,33.56,1478472.0,49657600.0
2019-10-15,33.55,33.66,32.97,33.01,1034652.0,34698000.0
2019-10-16,33.02,33.33,31.64,31.71,2005476.0,65222500.0
2019-10-17,31.71,32.74,31.56,32.02,1790359.0,58116600.0
2019-10-18,31.86,33.29,31.78,32.45,2521801.0,83194200.0
2019-10-21,32.44,32.44,30.36,30.85,2371040.0,74021700.0
2019-10-22,30.76,31.31,30.67,31.08,1149913.0,35907800.0
2019-10-23,31.18,33.72,30.77,33.26,3690919.0,120821400.0
2019-10-24,33.26,34.96,32.82,33.46,5423432.0,185407400.00000003
2019-10-25,33.35,33.35,32.03,32.34,2866844.0,93758100.0
2019-10-28,32.09,33.24,32.09,32.84,2367389.0,78116300.0
2019-10-29,32.76,33.35,31.66,31.7,2280424.0,74830500.0
2019-10-30,31.26,31.74,30.51,30.56,2034107.0,63259300.0
2019-10-31,30.56,30.82,28.66,28.84,2603296.0,77127500.0
2019-11-01,29.05,29.15,28.48,28.77,1131403.0,32897800.000000004
2019-11-04,28.86,29.76,28.86,29.37,1229000.0,36324800.0
2019-11-05,29.18,29.42,28.34,28.77,1634445.0,47213800.0
2019-11-06,28.97,29.2,28.34,28.64,1118531.0,32345200.0
2019-11-07,28.45,29.0,28.41,28.72,1260971.0,36537500.0
2019-11-08,28.86,29.04,28.41,28.6,1389877.0,40372100.0
2019-11-11,28.17,28.49,26.46,26.65,2275271.0,62255100.0
2019-11-12,27.16,27.16,26.06,26.34,1213117.0,32386100.0
2019-11-13,26.36,26.81,26.26,26.47,882228.0,23625000.0
2019-11-14,26.48,26.95,26.08,26.54,1280848.0,34365900.0
2019-11-15,26.42,26.73,26.07,26.13,1188565.0,31671900.0
2019-11-18,26.13,26.26,25.77,25.91,1100537.0,28863900.0
2019-11-19,25.88,26.31,25.84,26.18,961695.0,25308200.0
2019-11-20,26.31,26.31,25.46,25.46,1183215.0,30864900.0
2019-11-21,25.47,25.47,24.31,24.31,1667251.0,41732200.0
2019-11-22,24.36,24.75,23.91,23.94,1254787.0,30765700.0
2019-11-25,24.15,24.15,22.99,23.21,1516275.0,35657900.0
2019-11-26,23.36,23.46,23.11,23.31,849867.0,19981600.0
2019-11-27,23.39,23.48,23.22,23.3,925040.0,21838300.0
2019-11-28,23.38,23.86,23.24,23.61,1419085.0,33901700.0
2019-11-29,23.38,24.03,23.36,23.97,1340652.0,32221600.0
2019-12-02,24.12,24.28,23.59,23.69,1132210.0,27368400.0
2019-12-03,23.57,23.57,22.93,23.13,1139519.0,26615500.0
2019-12-04,23.12,23.46,22.97,23.27,669391.0,15725500.0
2019-12-05,23.22,23.44,23.12,23.41,778602.0,18307900.0
2019-12-06,23.41,23.7,23.24,23.52,1153445.0,27409900.0
