timestamps,open,high,low,close,volume,amount
2010-01-04,23.309999,23.5,22.18,22.620001,2738285,101644264.0
2010-01-05,22.559999,22.91,21.709999,22.66,2734529,99877688.0
2010-01-06,22.41,22.709999,21.809999,21.950001,1996479,72779472.0
2010-01-07,22.01,22.01,20.68,21.15,3234308,114520544.0
2010-01-08,21.15,21.48,20.49,21.440001,2509121,87942328.0
2010-01-11,21.709999,21.709999,20.6,21.24,2180799,76856952.0
2010-01-12,20.799999,21.809999,20.639999,21.73,2354346,83676176.0
2010-01-13,20.91,22.709999,20.73,22.43,3855378,140653856.0
2010-01-14,22.43,23.33,22.309999,23.1,3509462,130555392.0
2010-01-15,23.16,23.27,22.51,23.08,2115404,78947976.0
2010-01-18,23.059999,24.709999,23.059999,24.139999,3137968,121203952.0
2010-01-19,24.51,24.690001,23.91,24.299999,3217922,124073528.0
2010-01-20,24.51,24.6,22.709999,22.76,2659055,100558200.0
2010-01-21,22.790001,23.66,22.790001,23.17,2345977,88132912.0
2010-01-22,23.049999,23.049999,20.709999,21.57,4319228,153909568.0
2010-01-25,21.370001,21.700001,20.73,21.23,1742939,62221876.0
2010-01-26,21.459999,21.540001,19.639999,19.860001,2341000,80968480.0
2010-01-27,19.889999,20.200001,19.209999,19.219999,2699968,91052208.0
2010-01-28,19.219999,20.51,19.209999,20.08,2518279,86146592.0
2010-01-29,20.309999,21.76,20.27,20.65,3662144,129051800.0
2010-02-01,20.700001,21.209999,19.709999,20.35,1427814,49221732.0
2010-02-02,20.360001,20.82,19.610001,19.860001,1389124,48140632.0
2010-02-03,19.709999,20.309999,19.16,19.83,1871291,63521640.0
2010-02-04,19.860001,20.280001,19.709999,19.93,1273908,43636288.0
2010-02-05,19.67,19.690001,18.809999,19.620001,2412525,81218328.0
2010-02-08,19.190001,19.809999,19.110001,19.18,789838,26664798.0
2010-02-09,19.129999,19.4,18.559999,18.93,1450458,48065052.0
2010-02-10,19.1,19.809999,19.1,19.719999,1514717,51083444.0
2010-02-11,19.76,20.27,19.59,20.25,2629325,90099664.0
2010-02-12,20.200001,21.030001,20.01,21.02,1497752,52258224.0
2010-02-22,20.610001,20.889999,20.34,20.450001,974927,33919048.0
2010-02-23,20.450001,20.450001,19.700001,20.02,1825333,62609700.0
2010-02-24,20.01,20.809999,19.870001,20.57,1716496,59725776.0
2010-02-25,20.440001,21.030001,20.440001,20.99,1412914,49626676.0
2010-02-26,20.99,21.459999,20.709999,20.99,1521841,53724984.0
2010-03-01,20.99,21.09,20.370001,20.58,2753280,95907568.0
2010-03-02,20.610001,20.709999,20.41,20.440001,1034088,36029116.0
2010-03-03,20.440001,20.889999,20.27,20.65,919476,32117938.0
2010-03-04,20.67,20.91,19.67,19.879999,1420591,49024132.0
2010-03-05,19.889999,20.209999,19.610001,20.0,584768,20003962.0
2010-03-08,20.01,20.360001,19.83,20.33,1313973,45156924.0
2010-03-09,20.41,20.57,19.91,20.549999,1196165,41333472.0
2010-03-10,20.559999,20.6,20.190001,20.540001,1219460,42200972.0
2010-03-11,20.32,20.530001,20.09,20.17,1586438,54805552.0
2010-03-12,20.209999,20.290001,19.389999,19.709999,1429019,48551376.0
2010-03-15,19.709999,19.889999,18.51,18.77,1521413,50375492.0
2010-03-16,18.709999,18.92,18.41,18.59,1328160,43755700.0
2010-03-17,18.610001,19.59,18.610001,19.450001,1448521,48318048.0
2010-03-18,19.459999,19.559999,19.110001,19.309999,1779279,59824708.0
2010-03-19,19.32,19.459999,19.01,19.23,914352,30592330.0
2010-03-22,19.27,19.34,18.66,19.09,2644300,88017224.0
2010-03-23,19.110001,19.18,18.709999,18.83,1842554,61010708.0
2010-03-24,18.82,19.33,18.67,19.0,2053096,68243568.0
2010-03-25,19.049999,19.049999,18.41,18.690001,1103046,36264752.0
2010-03-26,18.93,19.24,18.389999,19.07,1740271,57947588.0
2010-03-29,19.049999,19.540001,18.9,19.32,6077845,203522192.0
2010-03-30,19.459999,20.040001,19.459999,19.9,4078044,139016176.0
2010-03-31,20.25,20.25,19.530001,19.790001,1325157,45064368.0
2010-04-01,19.780001,20.27,19.49,20.139999,3015611,103399760.0
2010-04-02,20.219999,20.51,19.709999,19.889999,3146645,107915080.0
2010-04-06,20.02,20.059999,19.51,19.700001,1821384,62020828.0
2010-04-07,19.83,20.190001,19.540001,20.18,2620056,89740536.0
2010-04-08,20.17,20.49,19.969999,20.16,1914031,66083884.0
2010-04-09,20.01,21.01,19.709999,20.790001,4965187,172563232.0
2010-04-12,20.889999,21.059999,20.120001,20.219999,4019018,139647152.0
2010-04-13,20.23,20.77,19.809999,20.57,2948630,102369912.0
2010-04-14,20.57,21.610001,20.459999,21.41,4750446,168739568.0
2010-04-15,21.42,21.860001,21.059999,21.440001,3492026,125301840.0
2010-04-16,21.440001,21.709999,20.809999,21.450001,2147597,76243272.0
2010-04-19,21.41,21.440001,20.68,21.07,4450116,157342480.0
2010-04-20,20.77,22.809999,19.889999,22.559999,7106327,255631056.0
2010-04-21,22.610001,24.299999,22.59,23.549999,8026380,304107680.0
2010-04-22,23.209999,23.77,23.1,23.540001,3558167,134235504.0
2010-04-23,23.629999,24.09,22.92,23.879999,4502226,170916048.0
2010-04-26,23.84,24.52,22.92,23.07,3502992,133389376.0
2010-04-27,22.530001,22.959999,21.290001,21.9,3205283,115397352.0
2010-04-28,21.84,22.209999,20.610001,21.75,2179623,77408640.0
2010-04-29,21.809999,22.23,20.41,21.1,1741444,62310456.0
2010-04-30,21.01,21.48,20.709999,21.389999,2890749,102424024.0
2010-05-04,21.09,22.889999,20.709999,22.219999,3887528,141787296.0
2010-05-05,21.91,23.040001,21.91,22.530001,5806751,214010384.0
2010-05-06,22.51,22.700001,21.379999,21.450001,2322368,84782752.0
2010-05-07,21.01,22.360001,20.73,21.700001,3772185,135800752.0
2010-05-10,21.24,21.91,20.700001,21.84,1712584,61156440.0
2010-05-11,21.9,22.99,21.389999,21.709999,3105946,113896440.0
2010-05-12,21.49,21.49,19.360001,20.709999,3870421,133913112.0
2010-05-13,20.32,21.059999,19.620001,20.559999,1828789,63399184.0
2010-05-14,20.41,21.209999,20.110001,21.190001,2447555,85924504.0
2010-05-17,20.809999,20.860001,19.709999,19.889999,1294888,44695656.0
2010-05-18,19.68,20.59,19.639999,19.879999,1335564,45880468.0
2010-05-19,19.709999,21.059999,19.690001,20.84,1635985,56957464.0
2010-05-20,20.700001,21.309999,19.309999,19.870001,2177574,75183576.0
2010-05-21,18.709999,19.610001,18.26,19.23,2347551,78727304.0
2010-05-24,19.41,20.309999,19.41,20.049999,2112386,72321744.0
2010-05-25,20.049999,20.049999,18.889999,19.290001,2068753,69234256.0
2010-05-26,19.26,19.26,18.51,18.73,2675115,88559224.0
2010-05-27,18.77,20.190001,18.610001,20.040001,3622653,122960968.0
2010-05-28,20.059999,20.790001,20.049999,20.27,2552137,88938024.0
2010-05-31,20.110001,20.889999,19.959999,20.26,1889267,65803576.0
2010-06-01,20.01,20.809999,19.73,20.620001,2380811,82757016.0
2010-06-02,20.65,20.83,19.530001,20.309999,1849904,63937996.0
2010-06-03,20.610001,20.709999,20.01,20.32,2339691,81076840.0
2010-06-04,20.309999,20.860001,20.110001,20.6,3651045,127727456.0
2010-06-07,19.959999,21.51,19.809999,21.290001,6076546,212728112.0
2010-06-08,21.360001,21.790001,20.959999,21.709999,3935688,140530096.0
2010-06-09,21.85,22.059999,21.459999,22.059999,5959098,214993936.0
2010-06-10,21.959999,22.809999,21.879999,22.07,4295411,157030384.0
2010-06-11,22.690001,23.51,21.83,22.030001,5356277,197276608.0
2010-06-18,20.709999,21.51,19.51,20.5,3777309,131629312.0
2010-06-21,20.209999,20.559999,19.41,20.540001,2428021,83352608.0
2010-06-22,20.209999,21.33,20.209999,20.809999,2411630,84833416.0
2010-06-23,20.809999,21.17,20.299999,20.549999,2119488,74105584.0
2010-06-24,20.360001,20.65,20.02,20.27,2542480,87970264.0
2010-06-25,20.42,20.42,19.51,19.790001,3271533,111689208.0
2010-06-28,19.709999,20.110001,19.040001,19.309999,2633242,89509912.0
2010-06-29,19.360001,19.41,17.959999,18.200001,4027518,132251448.0
2010-06-30,17.879999,18.91,17.51,18.73,2718155,87793000.0
2010-07-01,18.76,18.809999,17.530001,17.690001,2576027,82796016.0
2010-07-02,17.809999,17.99,16.52,16.93,2678074,83770280.0
2010-07-05,16.709999,16.83,15.57,16.209999,2963524,90120256.0
2010-07-06,15.99,17.9,15.99,17.610001,3436837,108497992.0
2010-07-07,17.549999,18.16,17.209999,17.4,6960387,222627760.0
2010-07-08,17.530001,17.700001,17.16,17.52,2613048,82613120.0
2010-07-09,17.379999,18.93,17.379999,18.389999,8715965,283704032.0
2010-07-12,18.389999,18.709999,17.93,18.42,4065540,132579784.0
2010-07-13,18.42,18.42,17.549999,17.67,3373634,108300744.0
2010-07-14,17.620001,18.209999,17.5,17.690001,2629468,84209072.0
2010-07-15,17.709999,17.879999,16.91,17.110001,2536921,80491376.0
2010-07-16,17.059999,17.059999,16.469999,16.879999,2542943,78768448.0
2010-07-19,16.85,17.5,16.52,17.440001,1711554,54017844.0
2010-07-20,17.469999,18.16,17.459999,18.139999,4597684,147891744.0
2010-07-21,18.139999,18.809999,17.709999,17.91,5905257,192944560.0
2010-07-22,17.92,18.57,17.92,18.32,4726814,154025600.0
2010-07-23,18.290001,18.559999,18.219999,18.370001,3997524,130429184.0
2010-07-26,18.42,19.389999,18.42,18.950001,2969753,98977744.0
