date,open,high,low,close,volume,amount
2019-07-22,31.56,36.0,16.35,26.95,40157201.0,2108323500.0
2019-07-23,22.19,26.11,21.69,24.14,16526889.0,848690300.0
2019-07-24,24.45,26.61,24.45,26.41,17927657.0,973769400.0
2019-07-25,27.04,29.73,27.03,28.09,20097904.0,1196338400.0
2019-07-26,28.35,30.51,27.4,27.45,19825242.0,1213539600.0
2019-07-29,28.18,29.73,27.45,29.71,18809678.0,1138350900.0
2019-07-30,29.88,30.37,28.72,29.79,17286984.0,1075187100.0
2019-07-31,29.58,31.5,29.29,31.49,18908611.0,1216640800.0
2019-08-01,31.11,33.68,30.96,33.18,19397613.0,1310803299.9999998
2019-08-02,32.29,37.75,32.05,34.19,23840476.0,1720894300.0
2019-08-05,34.76,38.1,32.78,38.1,20506512.0,1539248700.0
2019-08-06,38.46,39.68,32.04,33.31,23729793.0,1854826099.9999998
2019-08-07,34.15,35.68,33.04,34.76,15162580.0,1088740700.0
2019-08-08,34.76,35.31,32.32,32.54,12577047.0,880639800.0
2019-08-09,33.04,33.13,30.18,30.42,12469377.0,817117700.0
2019-08-12,30.3,30.72,28.2,29.16,9496604.0,582757300.0
2019-08-13,29.34,30.57,29.34,30.57,9842723.0,619621100.0
2019-08-14,31.16,31.45,30.62,30.78,8500664.0,552369000.0
2019-08-15,29.58,31.04,29.34,30.83,6756623.0,429520000.0
2019-08-16,30.97,33.38,30.97,32.4,13964625.0,940139200.0
2019-08-19,32.35,32.7,30.87,31.84,9936506.0,658041400.0
2019-08-20,31.84,32.49,31.31,31.49,6839016.0,456191800.0
2019-08-21,31.31,31.49,28.65,28.9,9823289.0,611642800.0
2019-08-22,28.99,30.04,28.5,29.07,5878657.0,361420899.99999994
2019-08-23,29.04,29.29,26.91,27.38,9966255.0,582958900.0
2019-08-26,27.38,28.02,27.13,27.59,4794441.0,278211200.0
2019-08-27,27.61,28.23,27.12,28.0,5379136.0,313673200.0
2019-08-28,27.9,28.42,27.51,27.56,4914516.0,288394500.0
2019-08-29,27.61,27.9,26.62,27.39,5167880.0,294598700.0
2019-08-30,27.39,27.88,27.12,27.42,4725908.0,273076800.0
2019-09-02,27.59,28.16,27.47,28.04,4351861.0,254647900.0
2019-09-03,28.04,30.26,27.77,30.01,9446351.0,584374600.0
2019-09-04,29.98,30.27,29.07,29.15,5619206.0,348028600.0
2019-09-05,29.18,29.71,29.09,29.37,4758880.0,293237900.0
2019-09-06,29.37,29.63,28.4,28.43,4864194.0,295593300.0
2019-09-09,28.76,28.77,28.27,28.6,3270340.0,195641000.0
2019-09-10,28.65,29.39,28.54,28.71,3634413.0,220747700.0
2019-09-11,28.79,28.79,28.28,28.29,2851753.0,170281600.0
2019-09-12,28.21,28.39,27.06,27.14,4823387.0,277234600.0
2019-09-16,27.24,27.66,27.24,27.43,2130102.0,122763700.00000001
2019-09-17,27.5,27.65,26.9,26.96,2176855.0,124576200.00000001
2019-09-18,27.02,27.13,26.16,26.6,2986198.0,166065400.0
2019-09-19,26.59,27.79,26.39,27.07,3431033.0,196575099.99999997
2019-09-20,27.07,27.22,26.76,26.96,1977636.0,111981299.99999999
2019-09-23,27.02,27.25,26.73,26.93,1720997.0,97663900.0
2019-09-24,27.02,27.8,26.99,27.73,4117716.0,238518800.0
2019-09-25,27.78,27.83,26.67,26.71,3054981.0,174630000.0
2019-09-26,26.87,26.92,24.65,24.7,4193029.0,224236500.0
2019-09-27,24.76,25.47,24.51,25.11,2140358.0,112889500.0
2019-09-30,24.95,24.97,23.17,23.49,3428898.0,172196900.0
2019-10-08,23.66,23.66,22.68,22.79,1954472.0,94974800.0
2019-10-09,22.72,23.12,22.58,22.96,1476982.0,71507800.0
2019-10-10,23.17,23.59,23.11,23.24,2049262.0,101170400.00000001
2019-10-11,23.25,23.37,23.03,23.03,1431366.0,70084300.0
2019-10-14,23.04,23.57,22.95,23.39,2050819.0,100915700.0
2019-10-15,23.37,23.37,22.88,22.94,1560993.0,76057200.0
2019-10-16,22.77,23.01,21.89,21.89,3282008.0,155466000.0
2019-10-17,21.88,22.03,21.26,21.3,2224182.0,101930000.0
2019-10-18,21.35,22.23,21.35,21.66,2879597.0,133426600.0
2019-10-21,21.59,21.59,20.39,20.73,2363137.0,103629500.0
2019-10-22,20.75,21.07,20.65,21.04,1410641.0,62624700.0
2019-10-23,21.03,22.61,20.76,22.27,3834074.0,177627400.00000003
2019-10-24,22.03,22.37,21.73,21.82,3596245.0,167974199.99999997
2019-10-25,21.67,22.92,21.34,22.53,3900688.0,182647700.0
2019-10-28,22.68,23.73,22.19,23.31,5468580.0,265373300.00000003
2019-10-29,23.12,23.9,22.64,22.69,4162754.0,204744000.0
2019-10-30,22.79,23.11,21.99,22.22,2919296.0,138421000.0
2019-10-31,21.69,22.17,20.71,20.81,4163279.0,187562599.99999997
2019-11-01,20.84,21.19,20.71,21.03,1654706.0,73884300.0
2019-11-04,21.19,21.45,21.0,21.05,1719337.0,77520500.0
2019-11-05,21.05,21.16,20.07,20.56,3643135.0,158155600.0
2019-11-06,20.39,21.67,20.17,21.07,4445248.0,199015000.0
2019-11-07,20.71,21.53,20.41,21.17,2846331.0,127234100.0
2019-11-08,21.32,21.67,20.95,20.97,2728689.0,123385400.00000001
2019-11-11,20.66,20.66,19.39,19.48,3071688.0,130771200.00000001
2019-11-12,19.49,19.82,19.34,19.59,1287566.0,53689399.99999999
2019-11-13,19.59,19.96,19.49,19.82,1473453.0,61980600.00000001
2019-11-14,19.9,20.16,19.57,20.0,1808591.0,76691500.0
2019-11-15,19.9,19.97,19.23,19.3,1626088.0,67993400.0
2019-11-18,19.28,19.4,19.08,19.13,1400025.0,57359500.0
2019-11-19,19.11,19.54,19.11,19.5,1425999.0,58952299.99999999
2019-11-20,19.51,19.51,19.04,19.09,1496609.0,61487800.0
2019-11-21,19.09,19.09,18.65,18.76,1465897.0,58878700.0
2019-11-22,19.12,19.69,18.77,19.1,2891368.0,119398500.0
2019-11-25,19.02,19.02,18.12,18.32,2539132.0,99645000.0
2019-11-26,18.48,18.51,18.14,18.41,1345238.0,52679300.0
2019-11-27,18.62,19.99,18.56,19.47,5016273.0,208143100.0
2019-11-28,19.35,20.1,19.35,19.42,3194305.0,134245600.0
2019-11-29,19.32,19.66,18.96,19.53,2092532.0,85910200.0
2019-12-02,19.77,20.16,19.57,19.64,2330806.0,98557099.99999999
2019-12-03,19.63,19.63,18.63,19.2,2162889.0,87741900.0
2019-12-04,19.03,19.63,18.83,19.39,1621900.0,67029100.0
2019-12-05,19.4,19.51,19.17,19.43,1539463.0,63515600.00000001
2019-12-06,19.55,19.93,19.43,19.73,2170843.0,91169200.0
2019-12-09,19.73,20.41,19.73,20.38,3607765.0,154438500.0
2019-12-10,20.31,22.37,20.16,21.48,7158256.0,325264300.0
2019-12-11,21.49,21.98,20.85,20.92,3612051.0,163297300.0
