date,open,high,low,close,amount
2019-08-23,24.79,31.11,24.79,31.11,3851800.0
2019-08-26,34.9,34.9,34.9,34.9,3147900.0
2019-08-27,39.08,39.08,39.08,39.08,3136500.0
2019-08-28,43.67,43.67,43.67,43.67,4311300.0
2019-08-29,48.72,48.72,43.94,44.15,1135413100.0
2019-08-30,42.64,42.9,40.12,40.33,708113100.0
2019-09-02,39.62,41.48,38.95,41.1,401931000.0
2019-09-03,42.46,45.13,42.19,43.69,591770500.0
2019-09-04,43.07,45.08,42.68,44.52,526858500.0
2019-09-05,47.1,49.65,46.33,49.65,816069700.0
2019-09-06,47.63,48.7,46.15,46.41,563595800.0
2019-09-09,47.01,48.07,45.87,47.55,399535700.0
2019-09-10,47.56,49.03,47.22,47.75,377777400.0
2019-09-11,47.56,47.59,44.98,44.98,432790100.0
2019-09-12,45.09,47.29,44.98,47.0,375582300.00000006
2019-09-16,47.01,47.42,45.95,47.42,332248700.0
2019-09-17,47.77,48.79,45.46,46.17,404526500.0
2019-09-18,46.49,51.0,45.48,49.32,699378000.0
2019-09-19,50.09,54.94,48.72,54.94,849027500.0
2019-09-20,54.94,59.25,53.17,53.94,893879299.9999999
2019-09-23,53.94,57.51,53.05,57.32,632522100.0
2019-09-24,56.09,60.71,54.71,58.71,608410300.0
2019-09-25,57.69,59.79,56.25,56.9,514252300.00000006
2019-09-26,56.25,56.25,51.33,52.82,556878300.0
2019-09-27,52.31,54.45,52.22,52.43,317773500.0
2019-09-30,52.46,53.16,51.02,51.03,268582300.0
2019-10-08,51.54,51.79,47.04,47.94,362890400.0
2019-10-09,47.22,48.48,46.25,48.35,207217800.0
2019-10-10,47.93,50.77,47.79,50.06,337797200.0
2019-10-11,49.79,50.43,49.25,49.31,238946000.0
2019-10-14,49.55,51.55,49.48,50.13,271024600.0
2019-10-15,48.83,50.59,48.19,50.17,232005700.0
2019-10-16,50.48,54.79,50.25,54.17,489709200.0
2019-10-17,53.71,54.85,52.48,54.49,321869900.0
2019-10-18,53.94,56.92,53.58,54.32,472480000.0
2019-10-21,53.94,53.95,48.56,49.79,372406500.0
2019-10-22,49.55,52.02,49.55,51.22,217666000.0
2019-10-23,51.5,54.32,50.89,52.22,320581400.0
2019-10-24,51.61,53.75,50.48,52.9,269478100.0
2019-10-25,52.41,54.62,52.15,53.31,337171500.0
2019-10-28,50.5,52.25,50.23,51.54,353931300.0
2019-10-29,50.94,51.32,47.78,48.55,360132600.0
2019-10-30,48.94,49.86,48.62,49.45,221284000.0
2019-10-31,48.94,49.44,46.63,46.85,293167200.0
2019-11-01,46.55,49.32,45.92,48.79,274792600.0
2019-11-04,49.05,49.65,48.05,48.48,237181500.0
2019-11-05,48.79,50.7,48.55,50.06,336205899.99999994
2019-11-06,49.79,51.25,47.79,48.05,302936500.0
2019-11-07,47.19,48.53,47.03,47.71,165907599.99999997
2019-11-08,48.0,48.42,47.33,47.64,173858600.0
2019-11-11,47.01,47.01,43.6,44.48,253235800.00000003
2019-11-12,44.71,44.71,42.14,43.67,197454199.99999997
2019-11-13,42.95,43.32,42.16,42.52,136722800.0
2019-11-14,42.74,43.71,42.65,43.25,147298200.0
2019-11-15,42.86,42.86,40.72,40.95,242341200.0
2019-11-18,41.25,41.63,40.17,41.63,155116600.0
2019-11-19,41.52,42.78,41.22,42.64,161148700.0
2019-11-20,42.64,42.64,41.25,41.47,156617800.0
2019-11-21,41.32,42.44,40.38,42.36,157881000.0
2019-11-22,42.28,42.71,40.75,40.92,141437000.0
2019-11-25,40.8,40.8,38.46,38.82,144038200.0
2019-11-26,38.71,39.46,38.56,39.03,87479400.0
2019-11-27,39.07,39.55,37.86,38.14,92853900.0
2019-11-28,38.03,38.55,37.66,38.22,87634200.0
2019-11-29,38.09,38.11,37.17,37.85,88221000.0
2019-12-02,37.85,38.46,37.63,38.19,77074000.0
2019-12-03,38.0,40.59,37.55,40.08,176972800.0
2019-12-04,39.34,40.02,39.05,39.38,112993500.0
2019-12-05,39.58,39.99,39.25,39.86,108789200.0
2019-12-06,39.95,40.85,39.67,40.01,136956200.0
2019-12-09,39.9,40.44,39.24,39.96,104647300.0
2019-12-10,39.52,40.5,39.4,40.32,90780000.0
2019-12-11,40.71,40.71,39.21,39.32,102906299.99999999
2019-12-12,39.59,39.59,38.35,38.45,95877500.0
2019-12-13,38.67,39.55,38.67,39.38,97694500.0
2019-12-16,39.67,44.0,39.65,44.0,348990300.0
2019-12-17,43.93,45.06,43.17,44.63,331394100.00000006
2019-12-18,44.7,45.62,43.74,44.4,255566500.0
2019-12-19,44.11,45.2,43.81,44.83,182339199.99999997
2019-12-20,44.82,46.99,44.5,45.35,308028300.0
2019-12-23,44.55,46.99,43.08,44.9,286404000.0
2019-12-24,44.84,46.53,44.47,46.37,237322000.0
2019-12-25,46.42,46.9,45.62,46.34,216463700.0
2019-12-26,46.25,46.64,45.49,45.98,183980500.0
2019-12-27,45.55,46.15,43.87,44.0,290043300.0
2019-12-30,43.22,48.94,43.18,47.05,355805300.0
2019-12-31,46.35,46.72,45.86,46.55,208531200.0
2020-01-02,46.48,48.55,46.48,47.64,308188500.0
2020-01-03,48.02,48.02,46.34,46.59,234199000.0
2020-01-06,45.32,46.09,45.23,45.42,208343000.0
2020-01-07,45.39,45.87,45.07,45.55,152332100.0
2020-01-08,45.12,45.45,43.77,43.86,192331600.0
2020-01-09,44.67,45.59,44.29,44.42,161003600.0
2020-01-10,44.58,45.27,44.25,44.98,122731900.0
2020-01-13,44.82,45.15,44.02,45.15,137437100.0
2020-01-14,45.22,46.38,45.02,46.14,220585700.0
2020-01-15,45.86,46.67,45.62,46.08,163436300.0
2020-01-16,46.06,46.48,44.58,44.65,164529100.0
2020-01-17,44.55,44.94,44.45,44.46,84994200.0
2020-01-20,44.32,44.32,42.89,44.05,136316700.0
2020-01-21,44.15,44.15,42.48,42.48,120693200.0
2020-01-22,42.2,42.4,40.86,41.95,126296200.00000001
2020-01-23,41.1,41.63,38.55,39.42,141005100.0
2020-02-03,34.79,34.79,34.79,34.79,46632000.0
2020-02-04,33.34,35.86,33.34,35.46,133917400.0
2020-02-05,35.42,36.85,35.42,36.07,110021700.0
2020-02-06,36.02,39.32,35.3,38.78,172877700.0
2020-02-07,38.19,38.94,37.86,38.52,102492500.0
2020-02-10,38.54,40.71,38.25,40.19,122645700.0
2020-02-11,40.4,40.69,39.55,39.87,86926299.99999999
2020-02-12,39.75,40.67,39.75,40.49,79704400.0
2020-02-13,40.45,41.4,39.49,40.86,119621200.00000001
2020-02-14,40.49,41.17,39.95,40.03,89580200.0
2020-02-17,40.19,41.08,40.19,40.99,89057900.00000001
2020-02-18,41.41,44.06,41.41,43.55,229054199.99999997
2020-02-19,43.42,45.92,42.9,43.61,233365400.0
2020-02-20,43.82,44.84,43.39,44.57,152493200.0
2020-02-21,44.09,44.98,43.93,44.35,134056299.99999999
2020-02-24,44.32,46.99,44.23,45.68,188730099.99999997
2020-02-25,47.4,50.93,47.39,50.93,496701500.0
2020-02-26,51.12,54.4,50.11,51.35,515139000.0
2020-02-27,53.17,55.24,51.02,53.28,394222800.0
2020-02-28,50.85,53.55,50.25,50.62,327714900.0
2020-03-02,51.62,56.37,51.45,56.37,427103600.0
2020-03-03,56.75,58.51,53.79,54.71,321544100.0
2020-03-04,54.7,56.55,54.0,55.52,204593100.0
2020-03-05,55.63,56.71,54.35,55.7,179125500.0
2020-03-06,55.62,57.25,54.34,54.66,156867300.0
2020-03-09,53.16,56.72,52.77,54.44,258316699.99999997
2020-03-10,54.41,57.48,52.14,57.48,234204700.0
2020-03-11,57.39,58.55,55.86,55.98,173855200.0
2020-03-12,55.39,56.9,52.48,53.9,213191800.0
2020-03-13,50.5,55.85,50.32,53.39,208318200.0
2020-03-16,53.83,54.7,50.1,50.79,145470300.0
2020-03-17,51.8,53.09,48.25,51.98,160176600.0
2020-03-18,52.42,55.15,49.67,49.67,194889600.0
