date,open,high,low,close,amount
2019-01-02,4176.11,4179.72,4125.94,4131.96,47494449.0
2019-01-03,4131.69,4182.2,4110.53,4112.81,55491244.0
2019-01-04,4075.62,4210.88,4071.69,4210.88,73448737.0
2019-01-07,4235.03,4297.02,4223.46,4288.32,81153450.0
2019-01-08,4278.28,4289.63,4264.6,4277.3,69556937.0
2019-01-09,4286.23,4354.2,4280.66,4288.77,85153595.0
2019-01-10,4289.56,4319.49,4274.2,4281.86,68910889.0
2019-01-11,4282.39,4316.54,4267.29,4314.88,68355085.0
2019-01-14,4317.52,4325.95,4278.76,4286.55,67679614.0
2019-01-15,4282.99,4350.93,4271.64,4347.36,72005181.0
2019-01-16,4347.08,4364.1,4330.74,4336.88,69274744.0
2019-01-17,4334.63,4347.18,4297.67,4303.73,74562113.0
2019-01-18,4307.14,4351.44,4297.48,4347.81,83371611.0
2019-01-21,4354.7,4395.06,4352.81,4373.63,72781531.0
2019-01-22,4370.86,4370.86,4291.96,4308.25,69496672.0
2019-01-23,4298.94,4322.89,4292.09,4315.68,58485735.0
2019-01-24,4318.71,4363.22,4292.83,4338.17,70630305.0
2019-01-25,4341.41,4359.46,4315.95,4318.44,71657478.0
2019-01-28,4341.49,4370.9,4297.96,4307.22,67279935.0
2019-01-29,4301.47,4301.47,4188.59,4254.29,77753727.0
2019-01-30,4235.27,4266.88,4211.19,4211.62,58513770.0
2019-01-31,4203.98,4240.72,4151.41,4176.47,71511205.0
2019-02-01,4189.11,4295.04,4189.11,4294.27,66099677.0
2019-02-11,4306.2,4403.73,4306.2,4402.87,75297356.0
2019-02-12,4398.44,4452.5,4394.83,4439.48,85271156.0
2019-02-13,4442.73,4526.27,4433.03,4512.41,113218903.0
2019-02-14,4507.84,4555.23,4494.55,4532.17,94828533.0
2019-02-15,4523.94,4544.39,4497.39,4502.73,93511607.0
2019-02-18,4527.97,4661.0,4527.97,4661.0,124124004.0
2019-02-19,4683.33,4706.53,4614.28,4667.28,143874768.0
2019-02-20,4667.35,4677.98,4619.46,4667.62,120213129.0
2019-02-21,4666.28,4750.42,4643.11,4659.14,145951113.0
2019-02-22,4651.54,4777.3,4649.22,4777.3,146166142.0
2019-02-25,4840.54,5045.08,4835.48,5044.35,241783579.0
2019-02-26,5059.28,5149.62,5004.55,5038.54,262833265.0
2019-02-27,5027.39,5093.8,4964.62,5017.88,208854087.0
2019-02-28,5017.44,5072.67,4994.05,5025.29,156042877.0
2019-03-01,5047.23,5067.31,4984.99,5067.23,149828330.0
2019-03-04,5112.95,5253.39,5108.28,5158.25,232446864.0
2019-03-05,5146.62,5295.29,5125.15,5295.29,206891261.0
2019-03-06,5328.13,5395.55,5256.79,5390.03,264964318.0
2019-03-07,5381.23,5512.64,5353.57,5458.62,266967220.0
2019-03-08,5340.11,5480.17,5245.53,5245.7,285680249.0
2019-03-11,5279.75,5456.42,5272.19,5456.38,214252213.0
2019-03-12,5500.94,5591.69,5458.76,5551.0,249333993.0
2019-03-13,5557.16,5557.16,5388.25,5424.86,224349236.0
2019-03-14,5381.11,5432.52,5236.75,5298.5,178608679.0
2019-03-15,5328.81,5418.33,5308.06,5359.01,152846465.0
2019-03-18,5387.38,5501.18,5333.26,5501.18,172655255.0
2019-03-19,5505.7,5555.12,5486.8,5522.18,166713931.0
2019-03-20,5518.31,5533.05,5415.75,5515.79,176820735.0
2019-03-21,5525.99,5634.66,5513.39,5589.48,207150045.0
2019-03-22,5591.04,5625.1,5505.81,5622.14,181954823.0
2019-03-25,5521.25,5629.23,5507.36,5549.67,178432937.0
2019-03-26,5571.52,5589.41,5380.85,5394.88,176164730.0
2019-03-27,5431.98,5447.88,5333.78,5447.88,144956608.0
2019-03-28,5432.94,5487.77,5370.12,5370.12,149261082.0
2019-03-29,5370.42,5550.76,5346.21,5547.66,178333017.0
2019-04-01,5591.67,5763.58,5591.67,5757.84,221181631.0
2019-04-02,5794.79,5833.02,5750.33,5775.55,228750284.0
2019-04-03,5744.22,5843.47,5724.13,5836.04,199104763.0
2019-04-04,5868.39,5894.99,5813.46,5871.56,208834859.0
2019-04-08,5921.21,5939.5,5765.91,5847.63,238317466.0
2019-04-09,5834.29,5877.84,5798.37,5858.05,179363502.0
2019-04-10,5826.03,5906.43,5782.37,5850.76,178753607.0
2019-04-11,5852.64,5866.92,5720.55,5727.17,165876073.0
2019-04-12,5720.05,5749.34,5673.74,5714.37,140078341.0
2019-04-15,5795.5,5815.39,5654.34,5655.98,157754136.0
2019-04-16,5625.12,5777.01,5583.61,5777.01,156029632.0
2019-04-17,5776.64,5840.63,5758.0,5807.73,169800155.0
2019-04-18,5804.3,5826.67,5762.57,5775.17,151322505.0
2019-04-19,5762.5,5810.18,5710.8,5810.18,148724289.0
2019-04-22,5821.02,5824.52,5704.98,5723.04,158161026.0
2019-04-23,5710.73,5710.73,5610.74,5628.06,149871461.0
2019-04-24,5636.4,5682.48,5568.41,5679.73,134784412.0
2019-04-25,5652.01,5662.79,5457.83,5458.42,151401718.0
2019-04-26,5427.62,5496.04,5407.19,5408.03,124279880.0
2019-04-29,5405.16,5421.66,5252.05,5265.6,138672387.0
2019-04-30,5244.04,5349.94,5244.04,5307.56,102190340.0
2019-05-06,5122.47,5125.16,4874.64,4908.8,143386233.0
2019-05-07,4933.04,4990.19,4886.06,4973.4,116573687.0
2019-05-08,4865.79,5028.53,4842.56,4947.74,107738121.0
2019-05-09,4897.98,4955.78,4879.69,4888.41,90934656.0
2019-05-10,4940.48,5064.32,4842.61,5064.32,122177483.0
2019-05-13,5009.47,5040.5,4985.19,5005.9,91736394.0
2019-05-14,4942.39,5018.41,4941.93,4965.61,87540969.0
