date,open,high,low,close,amount
2019-01-02,28.41,29.31,28.21,28.91,44092800.0
2019-01-03,29.01,29.09,26.57,27.29,52776100.0
2019-01-04,27.36,29.82,27.36,29.69,84057300.0
2019-01-07,29.78,29.98,29.32,29.77,68945400.0
2019-01-08,29.81,29.82,29.35,29.55,44981000.0
2019-01-09,30.18,32.07,30.18,31.14,133144500.0
2019-01-10,30.73,31.21,30.46,30.58,53924300.0
2019-01-11,30.7,30.91,29.79,30.58,63311400.0
2019-01-14,30.62,31.04,29.84,29.91,38623900.0
2019-01-15,29.76,31.12,29.76,31.02,56186700.0
2019-01-16,31.04,31.29,30.41,30.79,48201800.0
2019-01-17,30.8,31.34,30.12,30.35,35202200.0
2019-01-18,30.12,30.91,30.12,30.63,32356200.0
2019-01-21,30.97,31.84,30.71,31.09,47483600.0
2019-01-22,30.98,31.24,30.32,30.61,33159300.0
2019-01-23,30.51,30.76,30.31,30.55,31668300.0
2019-01-24,30.59,31.08,30.16,30.98,38308500.0
2019-01-25,30.91,31.48,30.57,30.81,42927100.0
2019-01-28,30.98,32.19,30.98,31.41,61494600.0
2019-01-29,31.62,31.62,29.41,30.61,59633500.0
2019-01-30,30.34,31.12,30.01,30.01,35982200.0
2019-01-31,30.39,30.41,28.84,28.95,57839300.0
2019-02-01,29.12,31.89,29.12,31.61,74033200.0
2019-02-11,32.04,32.48,31.26,32.39,71138200.0
2019-02-12,33.41,34.04,32.41,32.91,72270900.0
2019-02-13,33.01,33.62,32.05,33.16,85723400.0
2019-02-14,32.68,36.86,32.68,36.11,149727800.0
2019-02-15,35.91,35.91,34.59,34.74,112091500.0
2019-02-18,34.91,36.54,34.62,36.48,109049700.0
2019-02-19,36.46,36.46,34.13,34.82,120538600.0
2019-02-20,34.84,35.19,34.34,34.47,66502100.0
2019-02-21,34.55,35.52,33.18,33.84,91711700.0
2019-02-22,33.86,35.36,33.28,35.09,80314500.0
2019-02-25,35.19,38.17,34.97,37.0,146552900.0
2019-02-26,37.48,37.73,35.91,36.35,112111700.0
2019-02-27,36.27,37.33,35.55,35.83,80856900.0
2019-02-28,35.76,36.61,35.55,35.69,56980000.0
2019-03-01,35.99,36.54,35.76,36.04,51250700.0
2019-03-04,36.06,37.84,36.05,36.81,109186400.0
2019-03-05,36.41,37.55,36.13,37.51,83884400.0
2019-03-06,37.62,38.39,36.82,37.69,101691299.99999999
2019-03-07,37.61,37.61,35.25,36.58,136261700.0
2019-03-08,35.55,36.74,34.65,34.84,80488300.0
2019-03-11,34.84,36.81,34.71,36.77,102708200.0
2019-03-12,37.19,39.01,37.19,38.16,145762500.0
2019-03-13,38.16,38.41,36.66,37.01,78564100.0
2019-03-14,37.22,37.41,35.49,36.44,69782400.0
2019-03-15,36.44,38.76,36.26,37.63,100789599.99999999
2019-03-18,37.62,40.94,36.98,40.39,129028000.0
2019-03-19,40.19,40.83,39.34,39.84,78015200.0
2019-03-20,40.79,40.79,38.77,39.32,50217299.99999999
2019-03-21,39.49,40.41,39.13,39.31,75075800.0
2019-03-22,39.29,40.32,38.05,39.06,90630600.0
2019-03-25,38.57,39.08,37.91,38.54,48932500.0
2019-03-26,38.44,39.01,37.3,37.3,59345400.0
2019-03-27,37.7,38.04,36.98,38.04,47810800.0
2019-03-28,37.69,38.69,37.12,37.64,40181800.0
2019-03-29,37.71,39.34,37.46,39.06,51051100.0
2019-04-01,39.34,40.07,38.66,39.59,66668400.0
2019-04-02,39.37,40.19,38.75,38.82,66491700.0
2019-04-03,38.62,38.76,37.62,38.33,57457200.0
2019-04-04,38.01,38.76,37.64,38.19,48954500.0
2019-04-08,38.16,38.39,35.21,36.28,139177500.0
2019-04-09,36.19,36.54,35.74,36.07,40686100.0
2019-04-10,36.07,36.07,34.61,35.19,65685000.0
2019-04-11,35.26,35.49,33.96,34.24,46651100.0
2019-04-12,34.41,34.54,33.51,33.64,54659799.99999999
2019-04-15,34.26,34.46,32.62,32.62,64506800.0
2019-04-16,32.76,34.36,32.34,34.33,61906300.0
2019-04-17,34.34,34.58,33.69,34.17,43495900.0
2019-04-18,34.21,34.79,34.13,34.63,46291700.0
2019-04-19,34.49,35.11,33.8,34.85,48818000.0
2019-04-22,34.86,35.22,32.71,33.01,46836700.0
2019-04-23,33.35,34.05,32.4,32.98,47341500.0
2019-04-24,33.66,33.66,32.16,32.82,42530200.00000001
2019-04-25,32.81,32.81,31.62,31.69,43123000.0
2019-04-26,30.59,32.76,30.48,31.11,67528400.0
2019-04-29,29.16,30.26,27.98,28.36,77302200.0
2019-04-30,28.92,29.09,28.44,29.05,34564000.0
2019-05-06,27.7,28.23,26.06,26.68,62620700.0
2019-05-07,26.56,27.96,26.56,27.76,42626899.99999999
2019-05-08,27.55,28.3,26.84,27.64,31942900.0
2019-05-09,27.36,27.81,26.84,26.9,27063500.0
2019-05-10,27.37,28.39,26.13,28.26,49857500.0
2019-05-13,27.96,27.96,26.91,27.15,33788800.0
2019-05-14,26.84,27.44,26.62,26.69,25576600.0
2019-05-15,26.98,27.31,26.76,27.21,27767000.0
2019-05-16,27.16,27.83,26.98,27.69,28459200.0
2019-05-17,27.75,27.89,26.06,26.29,48635400.0
2019-05-20,26.23,26.23,24.2,25.7,31734500.0
2019-05-21,25.55,26.61,25.55,26.46,23617399.999999996
2019-05-22,26.56,26.56,25.98,26.19,16468400.0
2019-05-23,26.1,26.1,24.68,24.68,43718700.0
2019-05-24,24.62,26.06,24.62,25.29,39248900.0
2019-05-27,26.15,26.89,25.34,26.68,30364500.0
2019-05-28,26.16,27.26,26.08,26.29,31273000.0
2019-05-29,26.26,26.77,26.03,26.66,31310400.0
2019-05-30,26.17,26.38,25.41,25.73,30926600.0
2019-05-31,25.85,26.76,25.7,26.16,25621400.0
2019-06-03,25.62,26.26,25.02,25.96,37574600.0
2019-06-04,26.18,26.18,25.27,25.65,20328800.0
2019-06-05,26.05,26.05,24.98,25.04,22489000.0
2019-06-06,25.19,25.19,23.29,23.41,51602900.0
2019-06-10,24.01,24.23,23.42,23.46,40892700.0
2019-06-11,23.4,25.18,23.28,25.09,42798900.0
2019-06-12,25.84,25.89,25.15,25.41,31207300.0
2019-06-13,25.02,25.5,24.15,24.74,37007200.0
2019-06-14,24.47,25.66,24.24,24.32,41669100.0
2019-06-17,24.24,24.71,23.65,23.85,25764400.0
2019-06-18,24.05,24.34,23.74,24.27,23312100.0
2019-06-19,24.81,25.6,24.25,24.34,44271100.0
2019-06-20,24.17,24.7,23.87,24.56,45795400.0
2019-06-21,24.69,25.94,24.64,25.92,131217400.0
2019-06-24,25.39,26.92,25.14,25.92,110246500.0
2019-06-25,25.92,25.96,25.34,25.75,51765200.00000001
2019-06-26,25.75,26.71,25.47,26.1,79562900.0
2019-06-27,26.24,26.61,25.68,26.08,43744399.99999999
2019-06-28,25.91,26.34,25.84,26.09,36473700.0
2019-07-01,27.04,27.39,26.49,26.76,76645100.0
2019-07-02,26.76,27.44,26.76,26.99,71508900.0
2019-07-03,27.06,27.29,26.35,26.82,44444300.0
2019-07-04,26.81,27.43,26.81,27.13,39479200.0
2019-07-05,27.09,27.27,26.64,27.18,27905500.0
2019-07-08,27.15,27.21,26.15,26.15,42898700.0
2019-07-09,26.21,26.74,26.21,26.38,38794000.0
2019-07-10,26.68,26.68,25.79,25.84,32140800.0
2019-07-11,26.29,26.53,25.92,26.35,30361400.0
2019-07-12,26.03,26.69,25.96,26.68,32783300.0
2019-07-15,26.53,26.53,25.67,26.06,50766800.0
2019-07-16,26.02,26.02,25.04,25.15,47074200.0
2019-07-17,25.18,25.48,24.75,24.83,35061700.0
2019-07-18,24.67,24.72,23.75,23.75,43812800.0
2019-07-19,23.92,24.52,23.58,23.67,34531800.0
2019-07-22,23.84,24.21,22.04,22.31,52009900.0
2019-07-23,22.44,22.72,22.2,22.56,25262000.0
2019-07-24,22.68,23.56,22.64,23.19,53438800.0
2019-07-25,23.72,23.72,22.34,22.52,53831000.0
2019-07-26,22.46,22.99,22.05,22.29,61317200.0
2019-07-29,22.38,22.93,21.75,22.86,77355700.0
2019-07-30,22.66,23.33,22.35,22.4,76121500.0
2019-07-31,22.36,22.8,22.25,22.29,36264600.0
2019-08-01,22.29,22.34,21.85,21.95,31111600.0
2019-08-02,21.59,21.59,21.02,21.47,45897400.0
2019-08-05,21.31,21.47,20.36,20.52,55697500.0
2019-08-06,20.04,20.12,18.92,19.73,76853500.0
2019-08-07,19.81,21.29,19.73,20.62,68553600.0
2019-08-08,20.82,21.1,20.45,20.77,33587000.0
2019-08-09,20.85,21.22,20.35,20.44,31279000.0
2019-08-12,20.61,21.14,20.61,21.14,26203600.0
2019-08-13,20.75,21.04,20.19,20.56,37798500.0
2019-08-14,20.81,21.14,20.57,20.74,41588000.0
2019-08-15,20.0,21.04,19.94,21.02,38841100.0
2019-08-16,20.89,21.49,20.89,21.34,41992299.99999999
2019-08-19,21.36,22.7,21.36,22.63,75493500.0
2019-08-20,22.27,23.94,22.27,23.43,134392100.0
2019-08-21,23.33,24.63,23.06,24.11,95887700.0
2019-08-22,24.07,24.52,23.5,23.74,57108200.0
2019-08-23,23.73,23.94,23.24,23.57,42765500.0
2019-08-26,23.04,23.54,22.96,23.23,37721800.0
