date,open,high,low,close,amount
2019-01-02,28.78,28.78,26.8,27.24,20201700.0
2019-01-03,27.26,27.26,25.8,26.16,27233400.0
2019-01-04,25.8,26.63,25.5,26.44,25197900.0
2019-01-07,26.77,27.05,26.21,26.96,23860600.0
2019-01-08,26.96,27.55,26.62,26.66,22909699.999999996
2019-01-09,27.2,28.88,27.2,27.65,67609200.0
2019-01-10,27.6,28.1,27.13,27.6,27209200.0
2019-01-11,27.8,28.1,27.4,27.78,15992800.0
2019-01-14,28.08,28.37,27.61,27.8,16667700.0
2019-01-15,27.97,28.25,27.22,28.13,26717399.999999996
2019-01-16,28.6,28.6,27.87,27.87,20807900.0
2019-01-17,27.87,28.14,27.45,28.0,17121400.0
2019-01-18,27.84,28.39,27.64,28.34,26591400.0
2019-01-21,28.4,28.61,28.0,28.2,29066200.0
2019-01-22,28.31,28.32,26.8,26.95,39453400.0
2019-01-23,26.78,27.27,26.63,27.08,19200800.0
2019-01-24,27.17,27.27,26.63,26.98,33458200.0
2019-01-25,27.15,27.56,26.9,27.5,25307900.0
2019-01-28,27.8,28.86,27.56,28.31,55737299.99999999
2019-01-29,28.42,28.48,27.01,27.68,40312200.0
2019-01-30,27.66,27.66,26.93,27.13,25235400.0
2019-01-31,26.86,27.42,26.86,27.04,17629100.0
2019-02-01,27.19,27.8,27.04,27.68,32217000.0
2019-02-11,27.8,28.66,27.8,28.54,39116900.0
2019-02-12,28.44,31.51,28.44,30.9,117870500.0
2019-02-13,31.11,32.1,30.7,31.76,94311200.00000001
2019-02-14,31.6,32.79,31.22,32.65,72136200.0
2019-02-15,33.0,33.0,31.55,31.73,58660600.00000001
2019-02-18,31.84,32.7,31.84,32.42,73032300.0
2019-02-19,32.45,33.07,32.0,32.71,62891000.0
2019-02-20,32.73,32.82,32.18,32.51,35419800.0
2019-02-21,32.56,32.56,31.13,31.63,80926300.0
2019-02-22,31.79,32.47,31.46,32.38,55299600.0
2019-02-25,32.46,34.05,32.46,33.5,88931400.0
2019-02-26,33.2,33.2,31.8,32.13,126449000.0
2019-02-27,32.0,32.95,31.9,32.26,83947900.00000001
2019-02-28,32.08,32.88,32.08,32.56,49698200.0
2019-03-01,32.8,32.88,32.02,32.57,44356800.0
2019-03-04,32.57,34.46,32.37,33.38,104414100.0
2019-03-05,33.49,35.68,33.21,35.11,105589400.0
2019-03-06,35.35,35.88,33.8,34.4,104538600.0
