date,open,high,low,close,amount
2019-01-02,18.16,18.16,17.41,17.51,1530288700.0
2019-01-03,17.51,17.9,17.46,17.63,930818200.0000001
2019-01-04,17.43,18.41,17.27,18.36,1778066600.0
2019-01-07,18.59,18.67,17.96,18.19,1433346200.0
2019-01-08,18.12,18.13,17.74,18.05,700121400.0
2019-01-09,18.91,19.77,18.78,19.22,3985321500.0
2019-01-10,19.09,19.64,19.0,19.47,1803309000.0
2019-01-11,19.67,19.67,19.1,19.44,1246253800.0
2019-01-14,19.48,19.68,19.25,19.39,798844100.0
2019-01-15,19.55,20.59,19.42,20.49,2358470600.0
2019-01-16,20.51,21.21,20.36,21.02,1965928900.0000002
2019-01-17,19.81,20.59,19.55,20.37,3563409500.0
2019-01-18,20.39,20.86,20.14,20.68,2211036300.0
2019-01-21,20.74,21.86,20.56,21.19,2334690100.0
2019-01-22,21.18,21.18,20.38,20.62,1243034900.0
2019-01-23,20.43,21.17,20.19,20.9,1365387900.0
2019-01-24,21.17,21.21,20.71,21.09,1168618100.0
2019-01-25,21.27,21.81,20.94,21.61,1926015400.0
2019-01-28,21.81,23.0,21.76,22.0,2107414500.0
2019-01-29,21.96,22.88,21.83,22.81,2131184200.0000002
2019-01-30,22.54,22.76,22.15,22.41,1355912000.0
2019-01-31,22.79,23.46,22.59,23.46,1963680000.0
2019-02-01,24.06,24.06,23.36,23.67,1714917900.0
2019-02-11,23.58,24.99,23.5,24.78,1707182400.0
2019-02-12,24.78,25.16,24.53,24.93,1582481900.0
2019-02-13,25.08,25.36,24.54,25.22,1810395600.0
2019-02-14,25.17,26.21,24.92,26.06,1919738200.0
2019-02-15,25.95,25.96,24.37,24.46,2788302199.9999995
2019-02-18,25.0,25.99,24.92,25.8,2110376200.0
2019-02-19,26.21,27.21,25.96,26.33,2388570900.0
2019-02-20,26.7,26.79,25.96,26.7,1497965900.0
2019-02-21,26.81,27.21,26.33,26.55,2027676000.0
2019-02-22,26.5,26.71,25.7,26.67,2012175799.9999998
2019-02-25,27.42,28.41,26.71,28.39,4201073400.0000005
2019-02-26,28.33,28.33,27.12,27.24,3054746599.9999995
2019-02-27,27.61,27.67,26.51,26.86,2106323299.9999998
2019-02-28,26.81,27.44,26.75,27.11,1552155300.0
2019-03-01,27.47,28.17,27.34,28.04,2929047000.0
2019-03-04,28.58,30.05,28.31,28.96,4126903900.0
2019-03-05,29.36,29.78,29.01,29.39,2529131400.0
2019-03-06,29.61,30.11,29.02,29.41,2245821700.0
2019-03-07,29.41,29.42,27.81,28.05,2927540200.0
2019-03-08,27.07,27.7,26.74,26.82,2831378000.0
2019-03-11,26.82,27.77,26.82,27.68,1923601000.0
2019-03-12,28.04,28.06,26.91,27.11,3162378100.0
2019-03-13,27.19,27.56,27.11,27.26,1795235000.0
2019-03-14,27.21,28.31,27.14,27.77,2338446500.0
2019-03-15,27.81,29.99,27.81,29.23,3931306200.0
2019-03-18,29.21,30.42,28.85,30.21,3104486200.0
2019-03-19,30.24,30.74,29.22,29.52,2404196700.0
2019-03-20,29.32,29.41,28.42,28.92,2144968599.9999998
2019-03-21,28.71,28.88,28.29,28.58,2158335300.0
2019-03-22,28.71,29.05,28.11,28.47,1968097700.0
2019-03-25,27.78,27.98,27.19,27.3,2580637900.0
2019-03-26,27.59,27.74,26.57,27.11,2202652500.0
2019-03-27,27.39,28.09,27.16,27.91,1955936800.0
2019-03-28,27.68,28.29,27.35,27.94,1578843400.0
2019-03-29,27.97,29.61,27.97,29.52,3735999099.9999995
2019-04-09,34.24,34.24,34.24,34.24,563110300.0
2019-04-10,39.43,39.43,36.87,39.43,18195734500.0
2019-04-11,39.64,40.7,37.01,37.51,9811601300.0
2019-04-12,37.12,38.31,35.21,36.86,5933569399.999999
2019-04-15,38.07,40.86,37.52,39.01,7924294200.0
2019-04-16,38.61,40.59,38.04,40.55,5187989000.0
2019-04-17,40.55,40.65,39.31,39.77,4097149900.0
2019-04-18,40.77,42.41,40.47,41.81,5691631000.0
2019-04-19,41.81,47.71,40.99,47.31,6464561200.0
2019-04-22,46.04,46.6,43.19,43.45,7902553700.0
2019-04-23,43.21,43.81,41.8,43.3,5297737700.0
2019-04-24,44.01,44.19,42.03,42.22,5064464300.0
2019-04-25,41.61,41.91,39.61,40.06,5184675700.0
2019-04-26,40.04,40.59,38.41,38.49,4085011599.9999995
2019-04-29,38.06,40.9,37.32,39.62,5415667700.0
2019-04-30,37.16,39.45,36.81,37.89,4757352300.0
2019-05-06,35.69,36.97,33.51,33.84,7109823900.0
2019-05-07,34.36,36.53,34.36,35.73,4947665600.0
2019-05-08,34.31,35.97,34.01,34.64,2928669500.0
2019-05-09,34.19,34.83,32.83,34.11,3800419800.0
2019-05-10,35.31,38.46,34.07,37.56,4872752400.0
2019-05-13,35.53,37.6,35.53,36.41,2464302600.0
2019-05-14,35.56,36.8,35.33,35.67,2729489600.0
2019-05-15,36.81,38.56,36.51,38.25,4083930900.0000005
2019-05-16,38.01,38.89,37.81,38.5,2418916500.0
2019-05-17,38.51,38.73,36.46,37.11,2707163800.0
2019-05-20,36.66,37.5,35.13,35.95,2467504200.0
2019-05-21,36.15,38.55,36.13,37.76,2864609200.0
2019-05-22,37.91,38.26,37.01,37.31,1528098299.9999998
2019-05-23,37.31,37.41,35.19,35.19,2797634900.0
2019-05-24,35.36,36.76,35.36,36.21,2315195300.0
2019-05-27,36.32,36.81,35.29,36.36,1890637800.0
2019-05-28,36.31,37.64,36.11,37.21,2183517800.0
2019-05-29,36.44,36.97,36.01,36.41,1599251800.0
2019-05-30,35.95,36.1,34.94,35.25,2413602200.0
2019-05-31,35.21,35.84,34.48,34.62,1973124900.0
2019-06-03,35.02,35.45,34.21,34.81,1929034400.0
2019-06-04,34.81,35.49,33.34,33.79,1924963800.0
2019-06-05,34.51,35.62,33.3,34.66,2596265200.0
2019-06-06,34.66,35.41,34.3,34.91,1516495000.0
2019-06-10,35.41,35.56,34.73,35.35,1904413900.0000002
2019-06-11,35.21,36.38,34.68,36.26,3761480400.0
2019-06-12,36.13,36.14,34.82,35.09,2579947900.0
2019-06-13,34.71,34.72,33.08,33.58,3531723100.0
2019-06-14,33.59,34.25,33.39,33.47,1694156099.9999998
2019-06-17,33.51,33.96,32.88,33.05,1971143599.9999998
2019-06-18,33.17,33.52,32.72,33.34,1450253500.0
2019-06-19,34.56,35.29,34.32,34.42,3006518700.0
2019-06-20,34.42,36.57,34.33,36.31,3858013800.0
2019-06-21,36.66,37.11,35.52,35.62,2942997900.0
2019-06-24,36.11,37.18,35.61,36.66,2731804699.9999995
2019-06-25,36.66,36.97,35.5,36.41,2244694500.0
2019-06-26,35.87,36.91,35.84,36.78,1668305200.0
2019-06-27,37.01,37.81,36.81,37.3,2283645200.0
