date,open,high,low,close,amount
2019-01-02,9.83,9.83,9.39,9.42,250526900.0
2019-01-03,9.41,9.66,9.19,9.34,214153700.0
2019-01-04,9.17,9.57,9.04,9.48,250519600.0
2019-01-07,9.57,9.62,9.26,9.31,368326900.0
2019-01-08,9.3,9.39,9.11,9.15,266054700.0
2019-01-09,9.85,10.09,9.55,9.89,1080363200.0
2019-01-10,9.92,9.97,9.7,9.85,409263300.0
2019-01-11,9.9,10.06,9.77,9.96,276527900.0
2019-01-14,10.03,10.03,9.78,9.84,226038800.0
2019-01-15,9.8,10.65,9.8,10.55,732160000.0
2019-01-16,10.55,10.63,10.39,10.52,434738900.0
2019-01-17,10.5,10.72,10.31,10.51,347605600.0
2019-01-18,10.51,11.04,10.48,11.03,513477500.0
2019-01-21,10.97,11.6,10.95,11.07,645293500.0
2019-01-22,11.05,11.07,10.72,10.86,341850400.0
2019-01-23,10.8,10.97,10.72,10.77,266292500.0
2019-01-24,10.86,11.29,10.81,11.2,460914100.00000006
2019-01-25,11.19,11.49,11.03,11.35,403468600.0
2019-01-28,11.39,11.89,11.39,11.46,472270500.0
2019-01-29,11.4,11.68,11.29,11.46,452961500.0
2019-01-30,11.42,11.59,11.27,11.44,334070899.99999994
2019-01-31,11.59,11.97,11.59,11.89,544309500.0
2019-02-01,12.14,12.19,11.85,12.08,405885800.0
2019-02-11,12.08,12.37,11.99,12.25,612852000.0
2019-02-12,12.22,12.35,12.02,12.06,504013100.0
2019-02-13,12.06,12.24,11.94,12.04,616167700.0
2019-02-14,12.05,12.48,11.99,12.4,603381100.0
2019-02-15,12.32,12.38,11.62,11.67,939385700.0000001
2019-02-18,11.79,12.06,11.79,12.03,692702000.0
2019-02-19,12.17,12.52,11.9,11.95,581671500.0
2019-02-20,12.04,12.05,11.74,11.89,416200300.0
2019-02-21,11.99,12.18,11.79,11.87,556843500.0
2019-02-22,11.87,11.92,11.67,11.85,453904300.0
2019-02-25,12.39,12.59,12.04,12.59,1197777900.0
2019-02-26,12.57,12.95,12.31,12.34,998579800.0
2019-02-27,12.4,12.81,12.38,12.55,614755300.0
2019-02-28,12.55,12.84,12.37,12.37,646710200.0
