date,open,high,low,close,amount
2019-01-02,17.95,18.13,17.05,17.19,764857100.0000001
2019-01-03,17.01,17.58,16.75,16.95,520938100.0
2019-01-04,16.74,17.82,16.55,17.74,1012555399.9999999
2019-01-07,18.41,18.41,17.41,17.74,937395200.0
2019-01-08,17.8,17.95,17.43,17.61,496396700.0
2019-01-09,19.0,20.25,18.57,19.75,3201852600.0
2019-01-10,19.61,20.53,19.35,20.04,1398943800.0
2019-01-11,20.25,20.7,19.6,20.59,1098274200.0
2019-01-14,20.66,21.11,20.07,20.2,743527500.0
2019-01-15,20.25,21.77,20.08,21.75,1629499400.0
2019-01-16,21.75,22.21,21.37,21.95,1177411100.0
2019-01-17,21.95,22.45,21.63,21.66,1073148500.0
2019-01-18,22.2,22.85,21.79,22.83,1603555700.0
2019-01-21,22.95,23.55,22.35,22.84,1241232700.0
2019-01-22,22.85,23.06,21.77,22.05,1012517200.0
2019-01-23,21.74,22.8,21.74,22.21,800266600.0
2019-01-24,22.55,22.84,21.96,22.34,914100300.0
2019-01-25,22.48,22.85,21.45,22.65,1112391500.0
2019-01-28,22.93,23.75,22.55,22.59,1454201800.0
2019-01-29,22.59,23.75,22.21,23.75,1565725500.0
2019-01-30,23.54,23.65,22.85,22.85,1242106800.0
2019-01-31,23.63,24.35,23.2,24.28,1676325700.0
2019-02-01,25.1,25.25,24.28,25.01,1378311600.0
2019-02-11,24.71,27.07,24.65,26.83,1588661099.9999998
2019-02-12,26.75,27.65,26.4,27.24,1404091099.9999998
2019-02-13,27.49,27.98,26.65,27.55,1511519900.0
2019-02-14,27.65,28.06,27.25,27.9,1077612600.0
2019-02-15,27.5,27.5,25.75,26.02,2121611400.0000002
2019-02-18,26.55,27.21,26.3,27.15,1500350000.0
2019-02-19,27.23,28.09,26.36,26.83,1303139800.0
2019-02-21,27.25,28.17,26.39,26.61,1917916000.0
2019-02-22,26.65,26.65,25.1,26.36,1750311000.0
2019-02-25,28.25,30.14,27.44,29.92,3466143700.0
2019-02-26,29.1,29.45,28.1,28.11,2357420900.0
2019-02-27,27.9,28.96,27.9,28.39,1519672000.0
