date,open,high,low,close,amount
2019-01-02,2497.88,2500.28,2456.42,2465.29,109932013.0
2019-01-03,2461.78,2488.48,2455.93,2464.36,124397497.0
2019-01-04,2446.02,2515.32,2440.91,2514.87,168877667.0
2019-01-07,2528.7,2536.98,2515.51,2533.09,177305010.0
2019-01-08,2530.3,2531.35,2520.16,2526.46,158099181.0
2019-01-09,2536.42,2574.41,2536.16,2544.35,191887930.0
2019-01-10,2543.85,2551.83,2531.66,2535.1,159874326.0
2019-01-11,2539.55,2554.79,2533.36,2553.83,149444100.0
2019-01-14,2553.33,2556.29,2533.01,2535.77,144825464.0
2019-01-15,2537.37,2571.5,2532.43,2570.35,160265530.0
2019-01-16,2569.07,2574.24,2563.01,2570.42,149301539.0
2019-01-17,2573.58,2582.56,2557.71,2559.64,162468134.0
2019-01-18,2567.74,2598.88,2565.9,2596.01,190767237.0
2019-01-21,2599.06,2618.98,2599.06,2610.51,163425115.0
2019-01-22,2609.64,2609.64,2573.06,2579.7,152537773.0
2019-01-23,2575.26,2589.51,2572.41,2581.0,131426798.0
2019-01-24,2584.65,2597.29,2569.7,2591.69,154042046.0
2019-01-25,2596.26,2617.0,2595.63,2601.72,159394026.0
2019-01-28,2615.71,2630.32,2591.1,2596.98,146981765.0
2019-01-29,2592.36,2601.74,2559.98,2594.25,155581112.0
2019-01-30,2584.75,2598.81,2575.41,2575.58,120502571.0
2019-01-31,2581.33,2606.63,2571.58,2584.57,154303869.0
2019-02-01,2597.78,2618.48,2590.55,2618.23,131986850.0
2019-02-11,2613.17,2654.1,2613.17,2653.9,154898858.0
2019-02-12,2654.03,2674.48,2648.83,2671.89,184101179.0
2019-02-13,2674.52,2727.08,2666.52,2721.07,243794010.0
2019-02-14,2715.54,2729.46,2707.49,2719.7,197037349.0
2019-02-15,2712.79,2715.63,2679.78,2682.39,196004265.0
2019-02-18,2699.82,2754.36,2699.82,2754.36,260436007.0
2019-02-19,2759.5,2780.78,2737.59,2755.65,288046271.0
2019-02-20,2761.06,2767.41,2739.98,2761.22,245972527.0
2019-02-21,2759.94,2794.01,2744.98,2751.8,298649969.0
2019-02-22,2749.46,2804.23,2736.33,2804.23,301481411.0
2019-02-25,2838.39,2961.8,2838.39,2961.28,528658590.0
2019-02-26,2969.1,2995.68,2938.62,2941.52,565557967.0
2019-02-27,2939.93,2997.49,2924.64,2953.82,474976453.0
2019-02-28,2950.05,2965.3,2930.2,2940.95,350206602.0
2019-03-01,2954.4,2994.0,2930.83,2994.0,345786200.0
2019-03-04,3015.94,3090.8,3006.94,3027.58,525649436.0
2019-03-05,3019.88,3054.96,3009.45,3054.25,424142529.0
2019-03-06,3060.43,3103.83,3050.11,3102.1,555006365.0
2019-03-07,3103.67,3129.94,3074.98,3106.42,583817065.0
2019-03-08,3038.34,3075.05,2969.58,2969.86,577855473.0
2019-03-11,2969.08,3028.25,2963.58,3026.99,426213029.0
2019-03-12,3049.08,3093.39,3029.9,3060.31,511173158.0
2019-03-13,3062.33,3065.29,3013.93,3026.95,453214625.0
2019-03-14,3013.6,3041.16,2968.82,2990.69,373141798.0
2019-03-15,3000.88,3048.12,2999.43,3021.75,341206139.0
2019-03-18,3027.8,3096.42,3009.51,3096.42,397797179.0
2019-03-19,3099.9,3113.43,3076.36,3090.98,350908860.0
2019-03-20,3084.17,3102.52,3053.45,3090.64,358557505.0
2019-03-21,3094.12,3125.02,3086.85,3101.46,414251182.0
2019-03-22,3100.73,3107.28,3064.88,3104.15,364848346.0
2019-03-25,3058.8,3087.0,3041.95,3043.03,380278762.0
2019-03-26,3057.56,3062.69,2988.49,2997.1,353498021.0
2019-03-27,3012.26,3022.76,2987.77,3022.72,291390357.0
2019-03-28,3009.8,3025.78,2991.78,2994.94,288106425.0
2019-03-29,3000.68,3093.03,2999.99,3090.76,375082991.0
2019-04-01,3111.66,3176.62,3111.66,3170.36,466124693.0
2019-04-02,3183.27,3193.27,3164.91,3176.82,447068981.0
2019-04-03,3159.15,3219.26,3152.33,3216.3,430548635.0
2019-04-04,3233.69,3254.14,3216.85,3246.57,469117669.0
2019-04-08,3271.27,3288.45,3210.52,3244.81,504518403.0
2019-04-09,3240.39,3251.65,3215.7,3239.66,364169997.0
2019-04-10,3224.65,3264.78,3204.88,3241.93,380134408.0
2019-04-11,3241.55,3254.13,3185.55,3189.96,353031879.0
2019-04-12,3184.86,3199.28,3168.04,3188.63,289788996.0
2019-04-15,3233.46,3253.98,3177.27,3177.79,348809785.0
2019-04-16,3164.4,3253.6,3153.21,3253.6,357918752.0
2019-04-17,3250.15,3275.33,3239.8,3263.12,357541796.0
2019-04-18,3261.07,3271.39,3241.83,3250.2,325539942.0
2019-04-19,3250.15,3274.33,3226.81,3270.8,315198004.0
2019-04-22,3278.49,3279.49,3206.88,3215.04,353217387.0
2019-04-23,3211.87,3231.58,3186.76,3198.59,328361207.0
2019-04-24,3203.56,3210.65,3156.61,3201.61,274872164.0
2019-04-25,3190.59,3193.75,3123.03,3123.83,325879129.0
2019-04-26,3108.16,3129.21,3085.8,3086.4,280873854.0
2019-04-29,3090.63,3107.76,3050.03,3062.5,292114886.0
2019-04-30,3052.62,3088.41,3052.62,3078.34,222302517.0
2019-05-06,2984.73,2986.54,2876.47,2906.46,326972269.0
2019-05-07,2914.29,2937.28,2889.07,2926.39,253281769.0
2019-05-08,2873.14,2929.43,2866.7,2893.76,231530519.0
2019-05-09,2871.2,2888.86,2845.04,2850.95,200041133.0
2019-05-10,2878.23,2941.45,2838.38,2939.21,282306808.0
