date,open,high,low,close,amount
2019-01-02,34.79,34.92,33.47,33.82,71053600.0
2019-01-03,33.51,33.64,29.66,29.86,184202900.0
2019-01-04,29.96,32.24,29.2,31.86,136350900.0
2019-01-07,32.78,33.79,31.39,32.84,119346299.99999999
2019-01-08,32.54,34.04,32.29,32.79,83567700.0
2019-01-09,32.89,34.09,31.93,33.6,107408300.0
2019-01-10,33.19,33.37,31.83,32.23,87769700.0
2019-01-11,32.29,32.76,31.49,31.86,115690400.00000001
2019-01-14,31.86,32.65,31.54,32.52,78853500.0
2019-01-15,32.0,33.45,30.91,33.09,104329100.0
2019-01-16,32.59,33.09,31.67,32.47,78683500.0
2019-01-17,32.52,32.71,31.96,32.29,54790300.0
2019-01-18,31.91,32.79,31.91,32.35,90584800.0
2019-01-21,32.15,33.47,31.87,32.49,128844200.0
2019-01-22,32.44,32.44,31.39,31.8,73765500.0
2019-01-23,31.87,32.18,30.92,31.29,105531000.0
2019-01-24,31.8,32.8,31.32,32.72,140587100.0
2019-01-25,32.99,34.48,32.7,34.3,139067100.0
2019-01-28,34.43,36.29,33.81,34.38,108086900.0
2019-01-29,34.4,34.94,33.5,34.23,73183800.0
2019-01-30,33.8,35.72,33.77,34.53,70509100.0
2019-01-31,34.58,35.29,34.05,34.78,52559500.0
2019-02-01,34.8,35.39,33.98,34.54,49393600.0
2019-02-11,34.55,37.17,34.55,36.62,79291100.0
2019-02-12,36.77,36.98,35.62,36.55,73992500.0
2019-02-13,36.76,37.68,36.01,37.14,92941100.0
2019-02-14,37.19,38.46,36.6,38.14,87004599.99999999
2019-02-15,37.66,37.79,35.86,36.42,55600200.00000001
2019-02-18,36.41,37.07,36.11,36.69,101844500.0
2019-02-19,36.69,36.69,35.56,35.87,105463600.0
2019-02-20,35.8,35.97,35.04,35.64,69838300.0
2019-02-21,35.64,35.79,34.67,34.89,119272900.00000001
2019-02-22,34.9,35.41,33.91,35.29,99369599.99999999
2019-02-25,35.82,40.64,35.81,40.64,261989900.00000003
2019-02-26,41.29,45.79,40.79,41.34,229407800.0
2019-02-27,44.24,44.24,40.64,42.95,175287200.0
2019-02-28,42.64,43.59,42.21,43.29,80678000.0
2019-03-01,43.28,46.35,42.9,46.35,143139200.0
2019-03-04,46.29,49.72,45.33,47.86,211298400.0
2019-03-05,47.28,48.69,46.79,47.71,98409200.0
2019-03-06,47.58,47.58,44.59,46.69,171898500.0
2019-03-07,46.02,46.83,44.79,45.39,138297300.0
2019-03-08,44.79,45.34,43.29,44.45,177967700.0
2019-03-11,44.54,44.84,43.81,44.34,148923400.0
2019-03-12,44.59,44.79,42.92,44.25,192869000.0
2019-03-13,43.91,45.84,42.79,44.19,194047300.0
2019-03-14,43.91,45.04,42.94,43.62,87986200.00000001
2019-03-15,43.98,46.38,43.45,45.63,156101500.0
2019-03-18,44.99,48.69,44.99,48.67,169935200.0
2019-03-19,48.6,49.18,46.95,47.35,75855700.0
2019-03-20,46.56,48.07,46.56,47.44,74884200.0
2019-03-21,47.47,47.78,46.12,46.59,68505800.0
2019-03-22,46.02,47.07,45.45,46.6,77329600.0
2019-03-25,45.94,46.44,44.99,45.45,86689400.0
2019-03-26,45.79,46.67,44.44,45.55,76721100.0
2019-03-27,45.39,48.58,44.8,47.98,146724700.0
2019-03-28,47.92,53.58,47.13,50.79,226153200.0
2019-03-29,51.45,57.45,51.17,56.82,248235900.0
2019-04-01,56.62,58.92,54.91,56.39,286743000.0
2019-04-02,56.14,57.69,53.26,57.06,251151200.0
2019-04-03,55.49,56.55,53.95,55.06,239721000.0
2019-04-04,54.89,55.7,53.9,54.32,183396500.0
2019-04-08,54.31,55.81,53.34,54.58,220638900.0
2019-04-09,54.58,55.19,53.29,54.21,161570500.0
2019-04-10,54.06,58.87,53.21,58.87,279439600.0
2019-04-11,58.29,58.29,53.79,54.69,206998200.0
2019-04-12,54.35,55.27,53.23,54.32,78752100.0
2019-04-15,55.44,56.37,53.29,53.36,131113400.0
2019-04-16,53.09,55.17,52.89,54.99,104086299.99999999
2019-04-17,54.78,56.29,54.51,55.59,85999700.0
2019-04-18,56.23,59.17,55.41,56.93,121808400.0
2019-04-19,56.86,64.38,55.8,59.21,125877000.0
2019-04-22,59.74,59.74,56.35,56.63,92418700.00000001
2019-04-23,56.28,56.59,54.94,55.98,108408600.0
2019-04-24,55.69,56.48,54.49,56.07,130708600.0
2019-04-25,52.77,52.79,48.64,49.39,327847600.0
2019-04-26,48.3,53.17,46.39,50.91,215292100.0
2019-04-29,51.69,53.45,49.39,49.67,181402700.0
2019-04-30,50.29,50.9,48.89,49.56,138774900.0
2019-05-06,47.82,49.49,44.21,49.14,238285800.00000003
2019-05-07,47.78,50.8,47.78,50.74,224455200.0
2019-05-08,49.76,49.78,47.91,47.95,176090400.0
2019-05-09,43.79,47.78,43.79,46.01,209860600.0
2019-05-10,46.11,49.79,46.11,49.58,128863400.0
2019-05-13,48.79,49.99,48.39,48.97,86578700.00000001
2019-05-14,47.79,50.36,45.46,47.61,236112100.0
2019-05-15,47.99,49.53,46.57,49.34,230260900.0
2019-05-16,49.34,50.29,48.8,49.84,138426100.0
2019-05-17,49.1,50.59,49.1,49.3,95551400.0
2019-05-20,48.84,50.19,48.62,50.02,111447000.0
2019-05-21,50.04,51.67,48.44,50.17,110963700.00000001
2019-05-22,50.17,51.67,49.49,51.39,115902400.0
2019-05-23,51.26,54.94,50.86,54.94,266743200.0
2019-05-24,53.81,54.31,51.94,52.84,177316000.0
2019-05-27,52.84,53.8,50.07,52.67,116910200.0
2019-05-28,52.31,54.11,51.37,53.6,80545800.0
2019-05-29,52.82,53.41,51.82,52.56,73940400.0
2019-05-30,52.56,53.02,51.49,52.62,87553300.0
2019-05-31,53.0,54.26,52.21,53.96,136292900.0
2019-06-03,53.7,55.41,52.81,55.18,139663600.0
2019-06-04,55.31,55.53,51.78,52.26,200361200.0
2019-06-05,52.36,52.99,51.24,52.3,96676100.0
2019-06-06,51.82,52.14,51.13,51.61,81449000.0
2019-06-10,51.32,52.91,51.32,52.63,93768000.0
2019-06-11,52.63,55.21,52.2,54.81,160619000.0
2019-06-12,54.81,55.32,54.01,54.63,87668100.0
2019-06-13,54.63,55.81,53.07,55.51,101203100.0
2019-06-14,54.85,55.61,54.51,55.29,99948900.0
2019-06-17,55.29,56.28,54.21,54.39,90425600.0
2019-06-18,54.92,55.51,54.41,55.27,86436299.99999999
2019-06-19,56.32,58.31,56.32,57.26,112376700.0
2019-06-20,57.74,60.51,57.26,59.58,194406900.0
2019-06-21,59.79,60.39,57.83,60.0,189252800.0
2019-06-24,59.16,60.76,58.02,59.41,101891299.99999999
2019-06-25,59.8,59.8,58.02,59.31,75935500.0
2019-06-26,58.83,60.21,58.18,58.76,127643100.0
2019-06-27,59.17,59.62,57.42,58.8,162665900.0
2019-06-28,58.82,59.79,58.04,58.64,82667700.0
2019-07-01,59.56,60.97,59.56,60.81,130306900.0
2019-07-02,60.81,60.81,59.71,60.33,99777700.0
2019-07-03,59.63,60.1,58.11,58.4,133270800.0
2019-07-04,59.01,59.51,56.99,57.51,118437700.0
2019-07-05,58.05,59.17,57.86,58.86,127559400.0
2019-07-08,57.52,58.41,55.94,56.54,91877099.99999999
2019-07-09,56.77,56.86,55.21,55.81,77342100.0
2019-07-10,56.4,56.49,54.96,55.33,66704100.0
2019-07-11,55.33,57.28,55.33,56.01,86151800.0
2019-07-12,55.81,56.88,55.67,56.5,59211400.0
2019-07-15,56.65,56.81,54.41,54.82,116505600.0
2019-07-16,54.73,55.04,52.41,52.66,146272300.0
2019-07-17,53.06,53.13,51.82,52.18,191218400.0
2019-07-18,52.49,52.61,51.22,51.52,93142300.0
2019-07-19,51.8,52.09,50.71,50.82,176809100.0
2019-07-22,51.55,52.49,50.49,50.82,112836500.0
2019-07-23,50.92,51.65,50.42,51.35,76924800.0
