date,open,high,low,close,amount
2019-01-02,7259.49,7266.47,7136.95,7149.27,146826477.46
2019-01-03,7134.15,7217.83,7081.83,7089.44,173151161.64
2019-01-04,7022.12,7284.84,7011.33,7284.84,231616904.52
2019-01-07,7333.32,7409.38,7303.46,7400.2,248688841.14
2019-01-08,7381.61,7412.19,7361.41,7391.65,229393995.25
2019-01-09,7425.64,7552.2,7404.49,7447.93,266767952.68
2019-01-10,7442.7,7491.69,7415.28,7428.61,227413629.19
2019-01-11,7441.18,7490.17,7404.31,7474.01,217105794.9
2019-01-14,7473.88,7488.36,7394.96,7409.2,215934773.68
2019-01-15,7403.79,7549.66,7386.15,7547.35,223110397.47
2019-01-16,7545.35,7586.66,7518.71,7540.45,216076433.56
2019-01-17,7534.04,7545.81,7463.99,7470.36,210238042.33
2019-01-18,7486.95,7584.76,7479.66,7581.39,220630817.06
2019-01-21,7591.19,7661.62,7578.49,7626.24,204896693.51
2019-01-22,7615.8,7615.8,7493.78,7516.79,188464365.24
2019-01-23,7493.07,7542.65,7489.32,7523.77,168488373.32
2019-01-24,7537.5,7604.99,7485.24,7573.52,201968410.98
2019-01-25,7581.29,7657.03,7554.55,7595.45,211919404.85
2019-01-28,7641.29,7704.85,7569.77,7589.58,202423330.83
2019-01-29,7575.43,7578.13,7428.4,7551.3,208909702.93
2019-01-30,7518.03,7580.22,7470.36,7470.47,163342152.97
2019-01-31,7485.79,7552.56,7428.86,7479.22,206365251.58
2019-02-01,7524.67,7684.11,7517.83,7684.0,180990265.38
2019-02-11,7695.17,7922.54,7695.17,7919.05,211629262.55
2019-02-12,7915.06,8027.63,7903.9,8010.07,258799232.35
2019-02-13,8029.97,8191.98,8016.78,8171.21,318137977.16
2019-02-14,8182.32,8260.33,8141.1,8219.96,310200209.11
2019-02-15,8198.45,8223.64,8117.51,8125.63,307058614.1
2019-02-18,8187.89,8446.92,8187.89,8446.92,396701096.84
2019-02-19,8480.76,8537.35,8350.86,8440.87,437306242.83
2019-02-20,8443.98,8488.47,8372.96,8473.43,365676247.85
2019-02-21,8467.15,8619.62,8416.17,8451.71,431362358.42
2019-02-22,8431.56,8651.2,8393.86,8651.2,416850503.5
2019-02-25,8804.97,9134.58,8785.42,9134.58,643916664.34
2019-02-26,9162.92,9276.45,9036.75,9089.04,689527158.04
2019-02-27,9062.96,9158.2,8901.72,9005.77,550387136.85
2019-02-28,9001.18,9097.4,8970.65,9031.93,421689421.88
2019-03-01,9111.96,9167.65,9005.49,9167.65,399959292.64
2019-03-04,9280.65,9567.15,9260.73,9384.42,606335325.58
2019-03-05,9366.77,9595.74,9328.0,9595.74,563487474.43
2019-03-06,9640.95,9707.92,9518.71,9700.49,692388124.88
2019-03-07,9685.3,9782.22,9546.56,9678.11,685512478.26
2019-03-08,9447.6,9726.3,9346.73,9363.72,709489784.99
2019-03-11,9425.8,9704.33,9370.38,9704.33,558511387.7
2019-03-12,9766.5,9928.2,9683.07,9841.24,663592429.87
2019-03-13,9828.15,9828.15,9534.33,9592.05,615964538.05
2019-03-14,9521.63,9620.46,9323.06,9417.93,482171917.73
2019-03-15,9485.33,9650.54,9452.91,9550.54,422441792.42
2019-03-18,9583.45,9843.43,9510.66,9843.43,439815282.91
2019-03-19,9844.46,9908.17,9774.75,9839.74,431739482.7
2019-03-20,9828.07,9848.77,9642.67,9800.6,451219889.83
2019-03-21,9808.74,9934.86,9771.86,9869.8,515936101.16
2019-03-22,9871.99,9891.83,9692.25,9879.22,467872483.18
2019-03-25,9705.02,9858.08,9680.94,9701.7,460806698.55
2019-03-26,9753.17,9780.08,9487.1,9513.0,448860524.29
2019-03-27,9582.03,9609.44,9446.35,9609.44,376919235.08
2019-03-28,9586.38,9695.52,9537.61,9546.51,365302249.69
2019-03-29,9556.3,9906.86,9554.07,9906.86,435504934.23
2019-04-01,9976.98,10277.55,9976.98,10267.7,539634778.76
2019-04-02,10314.79,10334.96,10220.81,10260.36,557057587.29
2019-04-03,10199.97,10350.57,10166.67,10340.51,491116591.95
2019-04-04,10379.2,10453.5,10309.53,10415.8,514128386.52
2019-04-08,10510.43,10541.18,10226.25,10351.87,544942099.04
2019-04-09,10368.03,10438.99,10304.73,10436.62,440133411.27
2019-04-10,10403.24,10529.74,10328.61,10435.08,474638394.63
2019-04-11,10420.65,10437.45,10149.38,10158.4,444252114.43
2019-04-12,10138.09,10186.47,10053.81,10132.34,370906208.46
2019-04-15,10294.82,10365.31,10048.83,10053.76,403544068.49
2019-04-16,9993.25,10287.64,9928.28,10287.64,411812459.54
2019-04-17,10288.45,10410.65,10257.56,10344.43,453500765.01
2019-04-18,10338.5,10363.85,10267.31,10287.67,422880573.54
2019-04-19,10280.34,10418.24,10208.61,10418.24,409455000.08
2019-04-22,10418.71,10418.71,10192.52,10224.31,437135586.0
2019-04-23,10206.02,10247.39,10091.92,10124.66,403741204.2
2019-04-24,10162.38,10239.37,10023.91,10236.27,370744422.1
2019-04-25,10186.23,10209.14,9902.02,9907.63,430107686.33
2019-04-26,9852.94,9927.74,9774.75,9780.82,339762932.11
2019-04-29,9775.95,9822.82,9597.09,9622.49,356616132.79
2019-04-30,9573.41,9730.55,9573.39,9674.53,263792927.27
2019-05-06,9289.74,9333.92,8893.15,8943.52,355213411.07
2019-05-07,9011.52,9160.52,8928.57,9089.46,296713598.85
2019-05-08,8899.91,9167.81,8873.44,9002.53,289597255.9
2019-05-09,8919.5,9012.24,8860.17,8877.31,244927948.43
2019-05-10,8988.92,9238.55,8820.59,9235.39,346735347.34
2019-05-13,9112.52,9191.07,9059.32,9103.36,268454269.8
2019-05-14,8998.97,9142.46,8996.92,9038.36,258630922.78
2019-05-15,9125.27,9282.96,9123.9,9259.03,288895917.26
2019-05-16,9247.99,9307.22,9211.75,9293.32,310232475.83
2019-05-17,9299.46,9303.05,8964.37,9000.19,349171165.27
2019-05-20,8980.8,8994.18,8792.84,8916.11,274992473.6
2019-05-21,8920.46,9120.69,8892.15,9087.52,287502697.76
2019-05-22,9069.0,9132.38,8986.53,9041.22,281965205.92
2019-05-23,8997.25,8997.25,8789.41,8809.54,278961831.69
2019-05-24,8788.17,8880.81,8745.6,8776.77,228714097.3
2019-05-27,8795.14,9003.87,8732.98,8979.83,270875544.7
2019-05-28,8979.58,9082.7,8946.7,9035.69,276643369.62
2019-05-29,8971.22,9077.51,8956.72,9010.36,248026476.06
2019-05-30,8974.4,8974.4,8845.83,8943.35,264232166.55
2019-05-31,8939.41,9016.16,8892.12,8922.69,248794801.76
2019-06-03,8953.37,9012.08,8826.75,8856.99,273451240.66
2019-06-04,8854.5,8868.09,8697.5,8748.27,238853930.42
2019-06-05,8831.13,8851.12,8729.21,8746.05,224442578.47
2019-06-06,8741.83,8741.83,8557.58,8584.94,230614649.17
2019-06-10,8621.73,8748.97,8582.48,8711.79,205317923.13
2019-06-11,8721.27,9045.12,8718.47,9037.67,316531461.47
2019-06-12,9008.56,9038.87,8930.91,8954.72,295739200.58
2019-06-13,8948.58,8974.8,8866.22,8951.61,268633276.19
2019-06-14,8956.92,8994.16,8801.33,8810.13,273664328.75
2019-06-17,8807.84,8864.77,8753.42,8780.87,205218247.67
2019-06-18,8785.77,8839.23,8722.93,8804.32,193701307.61
2019-06-19,9051.85,9084.18,8923.44,8925.73,275315384.32
2019-06-20,8923.57,9183.15,8900.75,9134.96,317570242.41
2019-06-21,9181.64,9252.55,9158.32,9214.27,351989129.35
2019-06-24,9220.23,9251.48,9171.35,9212.12,286556337.46
2019-06-25,9206.18,9206.18,9004.76,9118.1,281105616.42
2019-06-26,9064.13,9164.28,9040.32,9122.43,224572243.7
2019-06-27,9154.04,9274.42,9152.63,9239.48,259085481.79
2019-06-28,9236.06,9236.06,9126.89,9178.31,243274133.76
2019-07-01,9384.79,9530.46,9339.77,9530.46,338049379.81
2019-07-02,9516.42,9560.52,9483.16,9545.52,306779217.73
2019-07-03,9519.8,9520.38,9376.31,9419.84,260721598.19
2019-07-04,9435.04,9466.02,9323.07,9368.3,233063772.68
2019-07-05,9379.94,9464.39,9345.79,9443.21,199307360.67
2019-07-08,9419.69,9420.24,9124.16,9186.29,261041805.99
2019-07-09,9178.91,9221.72,9119.65,9198.79,188090827.13
2019-07-10,9231.86,9239.28,9130.53,9166.15,187294334.3
2019-07-11,9216.95,9282.95,9121.46,9152.77,190345675.07
2019-07-12,9161.27,9236.42,9122.41,9213.38,186186263.89
2019-07-15,9181.03,9358.08,9066.71,9309.42,241649216.76
2019-07-16,9294.56,9324.91,9255.43,9283.41,211312143.91
2019-07-17,9274.69,9354.81,9242.25,9302.0,235067706.59
2019-07-18,9258.12,9258.12,9153.01,9154.65,222426906.71
2019-07-19,9198.82,9298.21,9198.82,9228.55,200474339.87
2019-07-22,9247.28,9254.65,9073.49,9122.64,218545396.06
2019-07-23,9125.46,9175.83,9104.76,9175.83,168118777.01
2019-07-24,9203.23,9312.67,9203.23,9266.3,213978041.39
2019-07-25,9265.31,9344.82,9247.97,9344.82,212853691.04
2019-07-26,9310.65,9363.27,9294.61,9349.0,185654473.95
2019-07-29,9350.21,9376.42,9310.63,9354.28,186596814.35
2019-07-30,9362.23,9469.08,9362.23,9399.1,206900141.01
2019-07-31,9374.44,9374.44,9318.59,9326.61,185301240.53
2019-08-01,9278.83,9327.94,9223.31,9268.05,189132525.24
2019-08-02,9049.35,9150.73,9020.26,9136.46,228554425.08
2019-08-05,9093.07,9168.1,8984.73,8984.73,203852033.15
2019-08-06,8805.16,8898.38,8669.9,8859.47,274305593.35
2019-08-07,8919.89,8933.99,8814.74,8814.74,189083931.71
